pName,doi
Planetary rovers in science fiction,10.1126/scirobotics.abh3165
Neutrobots smuggle drugs across biological barriers,10.1126/scirobotics.abh0286
Artificial microswimmers get smart,10.1126/scirobotics.abh1977
Good reactions for low-power shape-memory microactuators,10.1126/scirobotics.abh1560
A microrobotic platform actuated by thermocapillary flows for manipulation at the air-water interface,10.1126/scirobotics.abd3557
A cellular platform for the development of synthetic living machines,10.1126/scirobotics.abf1571
Reinforcement learning with artificial microswimmers,10.1126/scirobotics.abd9285
Dual-responsive biohybrid neutrobots for active target delivery,10.1126/scirobotics.aaz9519
Micrometer-sized electrically programmable shape-memory actuators for low-power microrobotics,10.1126/scirobotics.abe6663
Swarming behavior and in vivo monitoring of enzymatic nanomotors within the bladder,10.1126/scirobotics.abd2823
Endoscopy-assisted magnetic navigation of biohybrid soft microrobots with rapid endoluminal delivery and imaging,10.1126/scirobotics.abd2813
Progress in robotics for combating infectious diseases,10.1126/scirobotics.abf1462
R.U.R. versus Q.U.R.,10.1126/scirobotics.abg8858
Pneumatic soft robots take a step toward autonomy,10.1126/scirobotics.abg6994
Soft pumps for soft robots,10.1126/scirobotics.abg6640
Soft magnetic skin for super-resolution tactile sensing with force self-decoupling,10.1126/scirobotics.abc8801
Electrostatic bellow muscle actuators and energy harvesters that stack up,10.1126/scirobotics.aaz5796
Electronics-free pneumatic circuits for controlling soft-legged robots,10.1126/scirobotics.aay2627
Electro-pneumatic pumps for soft robotics,10.1126/scirobotics.abc3721
How could robotics help establish a new norm after COVID-19?,10.1126/scirobotics.abg2874
The strike of the dragonfly larvae,10.1126/scirobotics.abf4718
Squid-inspired robots perform swimmingly,10.1126/scirobotics.abf4301
A 3D underwater robotic collective called Blueswarm,10.1126/scirobotics.abf4315
Collaborating robots sample the primary production in the ocean,10.1126/scirobotics.abf4317
Bringing the light inside the body to perform better surgery,10.1126/scirobotics.abf1523
A controllable dual-catapult system inspired by the biomechanics of the dragonfly larvae’s predatory strike,10.1126/scirobotics.abc8170
A resonant squid-inspired robot unlocks biological propulsive efficiency,10.1126/scirobotics.abd2971
Implicit coordination for 3D underwater collective behaviors in a fish-inspired robot swarm,10.1126/scirobotics.abd8668
A system of coordinated autonomous robots for Lagrangian studies of microbes in the oceanic deep chlorophyll maximum,10.1126/scirobotics.abb9138
Microrobotic laser steering for minimally invasive surgery,10.1126/scirobotics.abd5476
Vol5_2020
In the soft grip of nature,10.1126/scirobotics.abd9120
Soft sensors that can feel it all,10.1126/scirobotics.abf0894
Robots learn to identify objects by feeling,10.1126/scirobotics.abf1502
Neuroengineering challenges of fusing robotics and neuroscience,10.1126/scirobotics.abd1911
Reflections on the future of swarm robotics,10.1126/scirobotics.abe4385
Magnetic movement under the spotlight,10.1126/scirobotics.abf1503
Heterogeneous sensing in a multifunctional soft sensor for human-robot interfaces,10.1126/scirobotics.abc6878
Skin-inspired quadruple tactile sensors integrated on a robot hand enable object recognition,10.1126/scirobotics.abc8134
Multi-expert learning of adaptive legged locomotion,10.1126/scirobotics.abb2174
Fast and programmable locomotion of hydrogel-metal hybrids under light and magnetic fields,10.1126/scirobotics.abb9822
Robots are not immune to bias and injustice,10.1126/scirobotics.abf1364
Marine animal tracking with classical and emerging localization algorithms,10.1126/scirobotics.abf0892
Deep diving with Clio,10.1126/scirobotics.abf1499
Spray-on magnetic skin for robotic actuation,10.1126/scirobotics.abf1390
Mobile robotic platforms for the acoustic tracking of deep-sea demersal fishery resources,10.1126/scirobotics.abc3701
Revealing ocean-scale biochemical structure with a deep-diving vertical profiling autonomous vehicle,10.1126/scirobotics.abc7104
Deep learning can accelerate grasp-optimized motion planning,10.1126/scirobotics.abd7710
An agglutinate magnetic spray transforms inanimate objects into millirobots for biomedical applications,10.1126/scirobotics.abc8191
A stunt flying hawk-inspired drone,10.1126/scirobotics.abe8379
Counting penguins with drones,10.1126/scirobotics.abe7458
Quadrupedal robots trot into the wild,10.1126/scirobotics.abe5218
Analog-digital computing let robots go through the motions,10.1126/scirobotics.abe6818
Multidrone aerial surveys of penguin colonies in Antarctica,10.1126/scirobotics.abc3000
Bioinspired wing and tail morphing extends drone flight capabilities,10.1126/scirobotics.abc2897
Learning quadrupedal locomotion over challenging terrain,10.1126/scirobotics.abc5986
A memristor-based hybrid analog-digital computing platform for mobile robotics,10.1126/scirobotics.abb6938
Good vibrations for flapping-wing flyers,10.1126/scirobotics.abe4544
Understanding robots,10.1126/scirobotics.abe2987
A more human prosthetic hand,10.1126/scirobotics.abd9341
Preparing to adapt is key for Olympic curling robots,10.1126/scirobotics.abe2547
The human brain reveals resting state activity patterns that are predictive of biases in attitudes toward robots,10.1126/scirobotics.abb6652
Vibrational control: A hidden stabilization mechanism in insect flight,10.1126/scirobotics.abb1502
The Hannes hand prosthesis replicates the key biological properties of the human hand,10.1126/scirobotics.abb0467
An adaptive deep reinforcement learning framework enables curling robots with human-like performance in real-world conditions,10.1126/scirobotics.abb9764
Roboticists should never look at their creations in the same way again,10.1126/scirobotics.abd2616
Enhancing insect flight research with a lab-on-cables,10.1126/scirobotics.abd7941
Tensegrity metamaterials for soft robotics,10.1126/scirobotics.abd9158
Integrating chemical fuels and artificial muscles for untethered microrobots,10.1126/scirobotics.abd7338
Structural batteries take a load off,10.1126/scirobotics.abd7026
3D-printed programmable tensegrity for soft robotics,10.1126/scirobotics.aay9024
An 88-milligram insect-scale autonomous crawling robot driven by a catalytic artificial muscle,10.1126/scirobotics.aba0015
Biomorphic structural batteries for robotics,10.1126/scirobotics.aba1912
Flapping wing drones show off their skills,10.1126/scirobotics.abd0233
A bug’s-eye view,10.1126/scirobotics.abd0496
Spinning artificial spiderwebs,10.1126/scirobotics.abd0290
The potential of socially assistive robots during infectious disease outbreaks,10.1126/scirobotics.abc9014
Efficient flapping wing drone arrests high-speed flight using post-stall soaring,10.1126/scirobotics.aba2386
Powered knee and ankle prosthesis with indirect volitional swing control enables level-ground walking and crossing over obstacles,10.1126/scirobotics.aba6635
Wireless steerable vision for live insects and insect-scale robots,10.1126/scirobotics.abb0839
Ionic spiderwebs,10.1126/scirobotics.aaz5405
Repurposing factories with robotics in the face of COVID-19,10.1126/scirobotics.abc2782
Immune evasion by designer microrobots,10.1126/scirobotics.abc7620
Drones against vector-borne diseases,10.1126/scirobotics.abc7642
Transforming platelets into microrobots,10.1126/scirobotics.abc6582
Elucidating the interaction dynamics between microswimmer body and immune system for medical microrobots,10.1126/scirobotics.aaz3867
Field performance of sterile male mosquitoes released from an uncrewed aerial vehicle,10.1126/scirobotics.aba6251
Automatic tracking of free-flying insects using a cable-driven robot,10.1126/scirobotics.abb2890
Enzyme-powered Janus platelet cell robots for active and targeted drug delivery,10.1126/scirobotics.aba6137
Robots and pandemics in science fiction,10.1126/scirobotics.abb9590
Multifunctional surface microrollers for targeted cargo delivery in physiological blood flow,10.1126/scirobotics.aba5726
Inflatable soft jumper inspired by shell snapping,10.1126/scirobotics.abb1967
Material remodeling and unconventional gaits facilitate locomotion of a robophysical rover over granular terrain,10.1126/scirobotics.aba3499
Bioinspired underwater legged robot for seabed exploration with low environmental disturbance,10.1126/scirobotics.aaz1012
Biofuel-powered soft electronic skin with multiplexed and wireless sensing for human-machine interfaces,10.1126/scirobotics.aaz7946
Electronic skins and machine learning for intelligent soft robots,10.1126/scirobotics.aaz9239
Ladybird beetle–inspired compliant origami,10.1126/scirobotics.aaz6262
Actuation of untethered pneumatic artificial muscles and soft robots using magnetically induced liquid-to-gas phase transitions,10.1126/scirobotics.aaz4239
Combating COVID-19—The role of robotics in managing public health and infectious diseases,10.1126/scirobotics.abb5589
Improving the energy economy of human running with powered and unpowered ankle exoskeleton assistance,10.1126/scirobotics.aay9108
Dynamic obstacle avoidance for quadrotors with event cameras,10.1126/scirobotics.aaz9712
An untethered isoperimetric soft robot,10.1126/scirobotics.aaz0492
Autonomous cars in science fiction,10.1126/scirobotics.aax1737
A ferrobotic system for automated microfluidic logistics,10.1126/scirobotics.aba4411
"Modeling engagement in long-term, in-home socially assistive robot interventions for children with autism spectrum disorders",10.1126/scirobotics.aaz3791
Sustainable manufacturing of sensors onto soft systems using self-coagulating conductive Pickering emulsions,10.1126/scirobotics.aay3604
A vision for future bioinspired and biohybrid robots,10.1126/scirobotics.aba6893
Metal or muscle? The future of biologically inspired robots,10.1126/scirobotics.aba6149
Forging global cooperation and collaboration,10.1126/scirobotics.aba5894
Autonomic perspiration in 3D-printed hydrogel actuators,10.1126/scirobotics.aaz3918
An organosynthetic dynamic heart model with enhanced biomimicry guided by cardiac diffusion tensor imaging,10.1126/scirobotics.aay9106
A bioinspired Separated Flow wing provides turbulence resilience and aerodynamic efficiency for miniature drones,10.1126/scirobotics.aay8533
Human adipose–derived mesenchymal stem cell–based medical microrobot system for knee cartilage regeneration in vivo,10.1126/scirobotics.aay6626
Soft biohybrid morphing wings with feathers underactuated by wrist and finger motion,10.1126/scirobotics.aay1246
Vol4_2019
XAI—Explainable artificial intelligence,10.1126/scirobotics.aay7120
Explainable robotics in science fiction,10.1126/scirobotics.aaz8586
A tale of two explanations: Enhancing human trust by explaining robot behavior,10.1126/scirobotics.aay4663
A formal methods approach to interpretable reinforcement learning for robotic planning,10.1126/scirobotics.aay6276
An autonomous untethered fast soft robotic insect driven by low-voltage dielectric elastomer actuators,10.1126/scirobotics.aaz6451
Bioinspired dual-morphing stretchable origami,10.1126/scirobotics.aay3493
Using the fringe field of a clinical MRI scanner enables robotic navigation of tethered instruments in deeper vascular regions,10.1126/scirobotics.aax7342
A robotic Intelligent Towing Tank for learning complex fluid-structure dynamics,10.1126/scirobotics.aay5063
Your mileage may vary,10.1126/scirobotics.aay6004
Magnetic quadrupole assemblies with arbitrary shapes and magnetizations,10.1126/scirobotics.aax8977
Dynamic locomotion synchronization of bipedal robot and human operator via bilateral feedback teleoperation,10.1126/scirobotics.aav4282
Teaching robots social autonomy from in situ human guidance,10.1126/scirobotics.aat1186
Minimal navigation solution for a swarm of tiny flying robots to explore an unknown environment,10.1126/scirobotics.aaw9710
Floating magnetic microrobots for fiber functionalization,10.1126/scirobotics.aax8336
A robot made of robots: Emergent transport and control of a smarticle ensemble,10.1126/scirobotics.aax4316
Tuna robotics: A high-frequency experimental platform exploring the performance space of swimming fishes,10.1126/scirobotics.aax4615
Optical lace for synthetic afferent neural networks,10.1126/scirobotics.aaw6304
Consecutive aquatic jump-gliding with water-reactive fuel,10.1126/scirobotics.aax7330
Ferromagnetic soft continuum robots,10.1126/scirobotics.aax7329
Multifunctional metallic backbones for origami robotics with strain sensing and wireless communication capabilities,10.1126/scirobotics.aax7020
An actuatable soft reservoir modulates host foreign body response,10.1126/scirobotics.aax7043
Ultragentle manipulation of delicate structures using a soft robotic gripper,10.1126/scirobotics.aax5425
MXene artificial muscles based on ionically cross-linked Ti3C2Tx electrode for kinetic soft robotics,10.1126/scirobotics.aaw7797
Soft phototactic swimmer based on self-sustained hydrogel oscillator,10.1126/scirobotics.aax7112
Untethered soft robotic matter with passive control of shape morphing and propulsion,10.1126/scirobotics.aax7044
A soft matter computer for soft robots,10.1126/scirobotics.aaw6060
Insect-scale fast moving and ultrarobust soft robot,10.1126/scirobotics.aax1594
Microwheels on microroads: Enhanced translation on topographic surfaces,10.1126/scirobotics.aaw9525
Biomimetic sensory feedback through peripheral nerve stimulation improves dexterous use of a bionic hand,10.1126/scirobotics.aax2352
A microrobotic system guided by photoacoustic computed tomography for targeted navigation in intestines in vivo,10.1126/scirobotics.aax0613
A neuro-inspired artificial peripheral nervous system for scalable electronic skins,10.1126/scirobotics.aax2198
Long-term implant of intramuscular sensors and nerve transfers for wireless control of robotic arms in above-elbow amputees,10.1126/scirobotics.aaw6306
A soft ring oscillator,10.1126/scirobotics.aaw5496
A myoelectric prosthetic hand with muscle synergy–based motion determination and impedance model–based biomimetic control,10.1126/scirobotics.aaw6339
A biosensing soft robot: Autonomous parsing of chemical signals through integrated organic and inorganic interfaces,10.1126/scirobotics.aax0765
Effortless creation of safe robots from modules through self-programming and self-verification,10.1126/scirobotics.aaw1924
Noninvasive neuroimaging enhances continuous neural tracking for robotic device control,10.1126/scirobotics.aaw6844
Intelligent magnetic manipulation for gastrointestinal ultrasound,10.1126/scirobotics.aav7725
Magnetically actuated microrobots as a platform for stem cell transplantation,10.1126/scirobotics.aav4317
Shared control–based bimanual robot manipulation,10.1126/scirobotics.aaw0955
Does computer vision matter for action?,10.1126/scirobotics.aaw6661
Computer vision and machine learning in science fiction,10.1126/scirobotics.aax7421
Toward principled regularization of deep networks—From weight decay to feature contraction,10.1126/scirobotics.aaw1329
Efficient nonparametric belief propagation for pose estimation and manipulation of articulated objects,10.1126/scirobotics.aaw4523
Emergence of exploratory look-around behaviors through active observation completion,10.1126/scirobotics.aaw6326
Learning sensorimotor control with neuromorphic sensors: Toward hyperdimensional active perception,10.1126/scirobotics.aaw6736
Programming soft robots with flexible mechanical metamaterials,10.1126/scirobotics.aav7874
Autonomous robotic intracardiac catheter navigation using haptic vision,10.1126/scirobotics.aaw1977
Millimeter-scale flexible robots with programmable three-dimensional magnetization and motions,10.1126/scirobotics.aav4494
Catalytic antimicrobial robots for biofilm eradication,10.1126/scirobotics.aaw2388
Ergodicity reveals assistance and learning from physical human-robot interaction,10.1126/scirobotics.aav6079
Dynamic DNA material with emergent locomotion behavior powered by artificial metabolism,10.1126/scirobotics.aaw3512
Autonomous vehicles: An imperfect path to saving millions of lives,10.1126/scirobotics.aaw8703
Parallel testing of vehicle intelligence via virtual-real interaction,10.1126/scirobotics.aaw4106
Self-driving cars: A city perspective,10.1126/scirobotics.aav9843
Neural network vehicle models for high-performance automated driving,10.1126/scirobotics.aaw1975
AADS: Augmented autonomous driving simulation using data-driven algorithms,10.1126/scirobotics.aaw0863
"Reconfigurable magnetic microrobot swarm: Multimode transformation, locomotion, and manipulation",10.1126/scirobotics.aav8006
Robots mediating interactions between animals for interspecies collective behaviors,10.1126/scirobotics.aau7897
Perching and resting—A paradigm for UAV maneuvering with modularized landing gears,10.1126/scirobotics.aau6637
Intracellular manipulation and measurement with multipole magnetic tweezers,10.1126/scirobotics.aav6180
A review of collective robotic construction,10.1126/scirobotics.aau8479
The real Alita: Battle Angel cyborgs,10.1126/scirobotics.aaw8387
Future farms without farmers,10.1126/scirobotics.aaw1875
Toward adaptive robotic sampling of phytoplankton in the coastal ocean,10.1126/scirobotics.aav3041
A closed-loop hand prosthesis with simultaneous intraneural tactile and position feedback,10.1126/scirobotics.aau8892
Restoring tactile sensations via neural interfaces for real-time force-and-slippage closed-loop control of bionic hands,10.1126/scirobotics.aau9924
When a robot teaches humans: Automated feedback selection accelerates motor learning,10.1126/scirobotics.aav1560
Developable mechanisms on developable surfaces,10.1126/scirobotics.aau5171
AntBot: A six-legged walking robot able to home like desert ants in outdoor environments,10.1126/scirobotics.aau0307
On the choice of grasp type and location when handing over an object,10.1126/scirobotics.aau9757
Robot learning—Beyond imitation,10.1126/scirobotics.aaw3520
Ten robotics technologies of the year,10.1126/scirobotics.aaw1826
Robot learning in science fiction,10.1126/scirobotics.aaw5283
Eyes are faster than hands: A soft wearable robot learns user intention from the egocentric view,10.1126/scirobotics.aav2949
Task-agnostic self-modeling machines,10.1126/scirobotics.aau9354
Purposive learning: Robot reasoning about the meanings of human activities,10.1126/scirobotics.aav1530
"Toward high-performance, memory-efficient, and fast reinforcement learning—Lessons from decision neuroscience",10.1126/scirobotics.aav2975
Soft robot perception using embedded soft sensors and recurrent neural networks,10.1126/scirobotics.aav1488
"See, feel, act: Hierarchical learning for complex manipulation skills with multisensory fusion",10.1126/scirobotics.aav3123
Vision-based grasp learning of an anthropomorphic hand-arm system in a synergy-based control framework,10.1126/scirobotics.aao4900
Learning ambidextrous robot grasping policies,10.1126/scirobotics.aau4984
Learning agile and dynamic motor skills for legged robots,10.1126/scirobotics.aau5872
Beyond imitation: Zero-shot task transfer on robots by learning concepts as cognitive programs,10.1126/scirobotics.aav3150
Vol3_2018
Chasing biomimetic locomotion speeds: Creating untethered soft robots with shape memory alloy actuators,10.1126/scirobotics.aau7557
An anthropomorphic soft skeleton hand exploiting conditional models for piano playing,10.1126/scirobotics.aau3098
Morphogenesis in robot swarms,10.1126/scirobotics.aau9178
Electro-ribbon actuators and electro-origami robots,10.1126/scirobotics.aau9795
Inverted and vertical climbing of a quadrupedal microrobot using electroadhesion,10.1126/scirobotics.aau3038
Soft wall-climbing robots,10.1126/scirobotics.aat2874
Situated experimental agents for scientific discovery,10.1126/scirobotics.aau4978
CASE: A HAL 9000 for 2021,10.1126/scirobotics.aav6610
Smart houses and domotics,10.1126/scirobotics.aav6015
Soft optoelectronic sensory foams with proprioception,10.1126/scirobotics.aau2489
"A hierarchically patterned, bioinspired e-skin able to detect the direction of applied pressure for robotics",10.1126/scirobotics.aau6914
From active perception to deep learning,10.1126/scirobotics.aav1778
The 50th anniversary of 2001: A Space Odyssey,10.1126/scirobotics.aav3246
An integrated system for perception-driven autonomy with modular robots,10.1126/scirobotics.aat4983
Forceful manipulation with micro air vehicles,10.1126/scirobotics.aau6903
Robotic ecology: Tracking small dynamic animals with an autonomous aerial vehicle,10.1126/scirobotics.aat8409
Elastomeric passive transmission for autonomous force-velocity adaptation applied to 3D-printed prosthetics,10.1126/scirobotics.aau5543
"Design of a multi-agent, fiber composite digital fabrication system",10.1126/scirobotics.aau5630
Rotorigami: A rotary origami protective system for robotic rotorcraft,10.1126/scirobotics.aah5228
Linear and rotational microhydraulic actuators driven by electrowetting,10.1126/scirobotics.aat5643
A skin-inspired tactile sensor for smart prosthetics,10.1126/scirobotics.aat0429
OmniSkins: Robotic skins that turn inanimate objects into multifunctional robots,10.1126/scirobotics.aat1853
"Social robotics—Trust, learning, and social interaction",10.1126/scirobotics.aau8839
Measures of incentives and confidence in using a social robot,10.1126/scirobotics.aat6963
"Robots for the people, by the people: Personalizing human-machine interaction",10.1126/scirobotics.aat7451
Social robots in rehabilitation: A question of trust,10.1126/scirobotics.aat1587
Not as bad as it seems: When the presence of a threatening humanoid robot improves human performance,10.1126/scirobotics.aat5843
"Improving social skills in children with ASD using a long-term, in-home social robot",10.1126/scirobotics.aat7544
Reading socially: Transforming the in-home reading experience with a learning-companion robot,10.1126/scirobotics.aat5999
"Children conform, adults resist: A robot group induced peer pressure on normative social conformity",10.1126/scirobotics.aat7111
Social robots for education: A review,10.1126/scirobotics.aat5954
"A highly sensitive, self-powered triboelectric auditory sensor for social robotics and hearing aids",10.1126/scirobotics.aat2516
BMI control of a third arm for multitasking,10.1126/scirobotics.aat1228
Bioinspired dual-stiffness origami,10.1126/scirobotics.aau0275
Optimized flocking of autonomous drones in confined environments,10.1126/scirobotics.aat3536
Autonomous task sequencing in a robot swarm,10.1126/scirobotics.aat0430
Rotary-actuated folding polyhedrons for midwater investigation of delicate marine organisms,10.1126/scirobotics.aat5276
ChemOS: Orchestrating autonomous experimentation,10.1126/scirobotics.aat5559
"Meet L3-37, an elite self-modifying robot in Solo: A Star Wars Movie",10.1126/scirobotics.aau1827
Personalized machine learning for robot perception of affect and engagement in autism therapy,10.1126/scirobotics.aao6760
Development of a magnetic microrobot for carrying and delivering targeted cells,10.1126/scirobotics.aat8829
Prosthesis with neuromorphic multilayered e-dermis perceives touch and pain,10.1126/scirobotics.aat3818
Simultaneous control of multiple functions of bionic hand prostheses: Performance and robustness in end users,10.1126/scirobotics.aat3630
New materials for next-generation robots,10.1126/scirobotics.aau0448
Encoding tissue mechanics in silicone,10.1126/scirobotics.aat7175
Fabrication of reprogrammable shape-memory polymer actuators for robotics,10.1126/scirobotics.aat9090
Meant to merge: Fabrication of stretchy electronics for robotics,10.1126/scirobotics.aat9091
4D printing and robotics,10.1126/scirobotics.aau0449
Biohybrid robot powered by an antagonistic pair of skeletal muscle tissues,10.1126/scirobotics.aat4440
"Electronic skins for soft, compact, reversible assembly of wirelessly activated fully soft robots",10.1126/scirobotics.aas9020
Light-stimulated actuators based on nickel hydroxide-oxyhydroxide,10.1126/scirobotics.aat4051
Hybrid biomembrane–functionalized nanorobots for concurrent removal of pathogenic bacteria and toxins,10.1126/scirobotics.aat0485
Cybathlon: How to promote the development of assistive technologies,10.1126/scirobotics.aat7174
Exoskeletal cyborg-type robot,10.1126/scirobotics.aat3912
Westworld and the uncanny valley,10.1126/scirobotics.aat8447
The uncanny valley of haptics,10.1126/scirobotics.aar7010
Can robots assemble an IKEA chair?,10.1126/scirobotics.aat6385
Translucent soft robots driven by frameless fluid electrode dielectric elastomer actuators,10.1126/scirobotics.aat1893
Controlling sensation intensity for electrotactile stimulation in human-machine interfaces,10.1126/scirobotics.aap9770
Soft erythrocyte-based bacterial microswimmers for cargo delivery,10.1126/scirobotics.aar4423
Geometric constraints and optimization in externally driven propulsion,10.1126/scirobotics.aas8713
Pacific Rim and exoskeletons,10.1126/scirobotics.aat3911
Robots for the PyeongChang 2018 Winter Olympic Games,10.1126/scirobotics.aat5217
Astromechs for NASA,10.1126/scirobotics.aat1600
Bioinspired living structural color hydrogels,10.1126/scirobotics.aar8580
"A soft, bistable valve for autonomous control of soft actuators",10.1126/scirobotics.aar7986
Exploration of underwater life with an acoustically controlled soft robotic fish,10.1126/scirobotics.aar3449
"An origami-inspired, self-locking robotic arm that can be folded flat",10.1126/scirobotics.aar2915
Spotlight on origami robots,10.1126/scirobotics.aat0938
Astromech robots in Star Wars,10.1126/scirobotics.aat1599
Human-in-the-loop optimization of hip assistance with a soft exosuit during walking,10.1126/scirobotics.aar5438
Kirigami skins make a simple soft actuator crawl,10.1126/scirobotics.aar7555
Looking ahead—Science Robotics in its second year,10.1126/scirobotics.aas9540
The grand challenges of Science Robotics,10.1126/scirobotics.aar7650
Hygrobot: A self-locomotive ratcheted actuator powered by environmental humidity,10.1126/scirobotics.aar2629
"The milliDelta: A high-bandwidth, high-precision, millimeter-scale Delta robot",10.1126/scirobotics.aar3018
Mobile nanotweezers for active colloidal manipulation,10.1126/scirobotics.aaq0076
In vivo tissue regeneration with robotic implants,10.1126/scirobotics.aaq0018
"Peano-HASEL actuators: Muscle-mimetic, electrohydraulic transducers that linearly contract on activation",10.1126/scirobotics.aar3276
Vol2_2017
"Humanoid robotics—History, current state of the art, and challenges",10.1126/scirobotics.aar4043
Soft humanoid motor learning,10.1126/scirobotics.aaq0989
iCub: The not-yet-finished story of building a robot child,10.1126/scirobotics.aaq1026
A whole-body support pose taxonomy for multi-contact humanoid robot motions,10.1126/scirobotics.aaq0560
Sense of movement: Simplifying principles for humanoid robots,10.1126/scirobotics.aaq0882
Design principles of a human mimetic humanoid: Humanoid platform to study human intelligence and internal body system,10.1126/scirobotics.aaq0899
Will robots be bodies with brains or brains with bodies?,10.1126/scirobotics.aar4527
Organismal engineering: Toward a robotic taxonomic key for devices using organic materials,10.1126/scirobotics.aap9281
Biohybrid actuators for robotics: A review of devices actuated by living cells,10.1126/scirobotics.aaq0495
Soft robotic ventricular assist device with septal bracing for therapy of heart failure,10.1126/scirobotics.aan6736
Multifunctional biohybrid magnetite microrobots for imaging-guided therapy,10.1126/scirobotics.aaq1155
Powering the world’s robots—10 years of ROS,10.1126/scirobotics.aar1868
"A biologically inspired, flapping-wing, hybrid aerial-aquatic microrobot",10.1126/scirobotics.aao5619
New materials for next-generation robots,10.1126/scirobotics.aap9294
Robotic metamorphosis by origami exoskeletons,10.1126/scirobotics.aao4369
Control of molecular shuttles by designing electrical and mechanical properties of microtubules,10.1126/scirobotics.aan4882
A biorobotic adhesive disc for underwater hitchhiking inspired by the remora suckerfish,10.1126/scirobotics.aan8072
Self-healing soft pneumatic robots,10.1126/scirobotics.aan4268
New soft robots really suck: Vacuum-powered systems empower diverse capabilities,10.1126/scirobotics.aan6357
Pollen tube navigation can inspire microrobot design,10.1126/scirobotics.aao1891
A soft robot that navigates its environment through growth,10.1126/scirobotics.aan3028
Robot-driven downward pelvic pull to improve crouch gait in children with cerebral palsy,10.1126/scirobotics.aan2634
Addressable wireless actuation for multijoint folding robots and devices,10.1126/scirobotics.aan1544
Robotics for space and marine sciences,10.1126/scirobotics.aan5594
"Inexpensive, small AUVs for studying ice-covered polar environments",10.1126/scirobotics.aan4809
Exploration telepresence: A strategy for optimizing scientific research at remote space destinations,10.1126/scirobotics.aan4383
Robotic space exploration agents,10.1126/scirobotics.aan4831
A robotic device using gecko-inspired adhesives can grasp and manipulate large objects in microgravity,10.1126/scirobotics.aan4545
