pName,doi
Design of a robotic manipulator for handling products of automotive industry,10.1177/1729881420906290
Verification of the UR5 robot’s properties after a crash caused by a fall of a transferred load from a crane,10.1177/1729881420904209
Emotional characteristics and time series analysis of Internet public opinion participants based on emotional feature words,10.1177/1729881420904213
A real-time semantic visual SLAM approach with points and objects,10.1177/1729881420905443
Residual stress detection of welded parts based on excitation vibration response,10.1177/1729881420905189
"A high-efficiency, information-based exploration path planning method for active simultaneous localization and mapping",10.1177/1729881420903207
Inverse displacement analysis of a hyper-redundant bionic trunk-like robot,10.1177/1729881420903223
An active reconstruction algorithm based on partial prior information,10.1177/1729881420904203
Examination of industrial robot performance parameters utilizing machine tool diagnostic methods,10.1177/1729881420905723
Thanks to reviewers,10.1177/1729881420906692
A Dai–Yuan conjugate gradient algorithm of linear equation constrained optimization approach for optimal robust controller of bipedal robots,10.1177/1729881419890178
A low-cost autonomous navigation system for a quadrotor in complex outdoor environments,10.1177/1729881420905150
Improving the speed of initial alignment for marine strapdown inertial navigation systems using heading control signal feedback in extended Kalman filter,10.1177/1729881419894849
Image recognition in online monitoring of power equipment,10.1177/1729881419900836
Probability model of sensitive similarity measures in information retrieval,10.1177/1729881420901425
A fast parameterized gait planning method for a lower-limb exoskeleton robot,10.1177/1729881419893221
Multichannel adaptive deployment and reliable communication design for unmanned surface vessel,10.1177/1729881419891581
Improve three-dimensional point localization accuracy in stereo vision systems using a novel camera calibration method,10.1177/1729881419896717
Flexible shape memory alloy actuators for soft robotics: Modelling and control,10.1177/1729881419886747
Robot vision application on embedded vision implementation with digital signal processor,10.1177/1729881419900437
Mechanical defect detection of porcelain column high-voltage disconnector based on operating torque,10.1177/1729881419900845
Three-dimensional nonrigid reconstruction based on probability model,10.1177/1729881420901627
A force-control scheme for biped robots to walk over uneven terrain including partial footholds,10.1177/1729881419897472
Building semantic grid maps for domestic robot navigation,10.1177/1729881419900066
The optimization of accuracy and efficiency for multistage precision grinding process with an improved particle swarm optimization algorithm,10.1177/1729881419893508
A robust mobile robot indoor positioning system based on Wi-Fi,10.1177/1729881419896660
External force estimation of fracture reduction robot based on force residual method,10.1177/1729881419897470
An ACL reconstruction robotic positioning system based on anatomical characteristics,10.1177/1729881419886160
Design and wrench-feasible workspace analysis of a cable-driven hybrid joint,10.1177/1729881419899758
Fruit recognition based on pulse coupled neural network and genetic Elman algorithm application in apple harvesting robot,10.1177/1729881419897473
Feedforward-plus-proportional–integral–derivative controller for agricultural robot turning in headland,10.1177/1729881419897678
Efficient hindsight reinforcement learning using demonstrations for robotic tasks with sparse rewards,10.1177/1729881419898342
Dynamic output feedback control for a walking assistance training robot to handle shifts in the center of gravity and time-varying arm of force in omniwheel,10.1177/1729881419846737
Dynamic analysis of the arbitrary position of a particle robot around an inclined pipe based on virtual joints,10.1177/1729881419898588
Fault estimation and compensation for hypersonic flight vehicle via type-2 fuzzy technique and cuckoo search algorithm,10.1177/1729881419891605
Flexible model predictive control based on multivariable online adjustment mechanism for robust gait generation,10.1177/1729881419887291
Estimation of leg stiffness using an approximation to the planar spring–mass system in high-speed running,10.1177/1729881419890713
Vehicle pose estimation algorithm for parking automated guided vehicle,10.1177/1729881419891335
Fractional-order internal model control algorithm based on the force/position control structure of redundant actuation parallel robot,10.1177/1729881419892143
Simulating human–machine coupled model for gait trajectory optimization of the lower limb exoskeleton system based on genetic algorithm,10.1177/1729881419893493
A model-free fuzzy adaptive trajectory tracking control algorithm based on dynamic surface control,10.1177/1729881419894417
A new path planning method based on concave polygon convex decomposition and artificial bee colony algorithm,10.1177/1729881419894787
Design and kinematics analysis of the executing device of heavy-duty casting robot,10.1177/1729881419895082
Passive impact/vibration control and isolation performance optimization for space noncooperative target capture,10.1177/1729881419895388
Two-finger exoskeleton with force feedback for a mobile robot teleoperation,10.1177/1729881419895648
Corrigendum to Solving robotic distributed flowshop problem using an improved iterated greedy algorithm,10.1177/1729881419899186
On 3D simultaneous attack against manoeuvring target with communication delays,10.1177/1729881419894808
A cubic spline method combing improved particle swarm optimization for robot path planning in dynamic uncertain environment,10.1177/1729881419891661
Metaheuristic algorithm for solving the multi-objective vehicle routing problem with time window and drones,10.1177/1729881420920031
Analysis on energy consumption of blended-wing-body underwater glider,10.1177/1729881420920534
Hecatonquiros: Open-source hardware for aerial manipulation applications,10.1177/1729881420921622
A generic synchronous dataflow architecture to rapidly prototype and deploy robot controllers,10.1177/1729881420921625
Lane-level localization system using surround-view cameras adaptive to different driving conditions,10.1177/1729881420921630
Neural network feature learning based on image self-encoding,10.1177/1729881420921653
Active collaboration in relative observation for multi-agent visual simultaneous localization and mapping based on Deep Q Network,10.1177/1729881420920216
Ground-penetrating radar-based underground environmental perception radar for robotic system,10.1177/1729881420921642
Compensation for absolute positioning error of industrial robot considering the optimized measurement space,10.1177/1729881420921644
Kinematics analysis of a new parallel robotics,10.1177/1729881420919950
The parameter identification of the autonomous underwater vehicle based on multi-innovation least squares identification algorithm,10.1177/1729881420921016
Robotic object recognition and grasping with a natural background,10.1177/1729881420921102
Motion planner for a Tetris-inspired reconfigurable floor cleaning robot,10.1177/1729881420914441
Spatio-temporal voxel layer: A view on robot perception for the dynamic world,10.1177/1729881420910530
Aerial–ground collaborative 3D reconstruction for fast pile volume estimation with unexplored surroundings,10.1177/1729881420919948
Research on static and dynamics mechanical characteristics of flexible bearing in harmonic reducer,10.1177/1729881420919953
Neural network control of a wheeled mobile robot based on optimal trajectories,10.1177/1729881420916077
Light detection and ranging/inertial measurement unit-integrated navigation positioning for indoor mobile robots,10.1177/1729881420919940
Deep submergence rescue vehicle docking based on parameter adaptive control with acoustic and visual guidance,10.1177/1729881420919955
Path following for underactuated surface vessels with disturbance compensating predictive control,10.1177/1729881420920039
High-precision prescribed-time path following for quadrotor,10.1177/1729881420920058
Non-singular terminal sliding mode control for redundantly actuated parallel mechanism,10.1177/1729881420919548
Target tracking control of underactuated autonomous underwater vehicle based on adaptive nonsingular terminal sliding mode control,10.1177/1729881420919941
Research on attack and defence control of martial arts arena robot based on kinodynamics,10.1177/1729881420910322
User online behavior based on big data distributed clustering algorithm,10.1177/1729881420917293
Path planning for unmanned surface vehicle based on predictive artificial potential field,10.1177/1729881420918461
Finite-time trajectory control for a quadrotor aircraft using disturbance observer,10.1177/1729881420903847
An experimental energy consumption comparison between trajectories generated by using the cart-table model and an optimization approach for the Bioloid robot,10.1177/1729881420917808
Corrigendum to Data-driven product design toward intelligent manufacturing: A review,10.1177/1729881420920029
"An optimal trajectory planning algorithm for autonomous trucks: Architecture, algorithm, and experiment",10.1177/1729881420909603
Multiple Internet of Robotic Things robots based on LiDAR and camera sensors,10.1177/1729881420913769
Design and implementation of badminton robot perception and control system,10.1177/1729881420912606
An interactive system for humanoid robot SHFR-III,10.1177/1729881420913787
A novel short-frequency slip fault energy distribution-based demodulation technique for gear diagnosis and prognosis,10.1177/1729881420915032
Analysis of human mechanics structure in national Tai Chi movement,10.1177/1729881420915069
Multichannel optimization for electromyogram signals with complex features in a decomposition-based multi-objective evolution framework with adaptive angle selection,10.1177/1729881420917016
Fault diagnosis method of mechanical power system based on image processing technology,10.1177/1729881420914093
Soft labeling with quasi-Gaussian structure for training samples of deep classification trackers,10.1177/1729881420915025
A recurrent reinforcement learning approach applicable to highly uncertain environments,10.1177/1729881420916258
A novel time–frequency–space method with parallel factor theory for big data analysis in condition monitoring of complex system,10.1177/1729881420916948
Robust composite nonlinear feedback control for uncertain robot manipulators,10.1177/1729881420914805
Hand–eye calibration and grasping pose calculation with motion error compensation and vertical-component correction for 4-R(2-SS) parallel robot,10.1177/1729881420909012
Energy estimation for differential drive mobile robots on straight and rotational trajectories,10.1177/1729881420909654
Corrigendum to Requirements elicitation for robotic and computer-assisted minimally invasive surgery,10.1177/1729881420912871
The blade surface performance and its robotic machining,10.1177/1729881420914090
A joint framework for underwater sequence images stitching based on deep neural network convolutional neural network,10.1177/1729881420915062
Robust model reconstruction for intelligent health monitoring of tunnel structures,10.1177/1729881420910836
Multi-weapon multi-target assignment based on hybrid genetic algorithm in uncertain environment,10.1177/1729881420905922
Three-dimensional mechanical parts reconstruction technology based on two-dimensional image,10.1177/1729881420910008
Iterative learning-based formation control for multiple quadrotor unmanned aerial vehicles,10.1177/1729881420911520
Epi: An open humanoid platform for developmental robotics,10.1177/1729881420911498
H-infinity adaptive observer enhancements for vehicle chassis dynamics-based navigation sensor fault construction,10.1177/1729881420904215
Continuous reinforcement learning to adapt multi-objective optimization online for robot motion,10.1177/1729881420911491
Improvements on the virtual obstacle method,10.1177/1729881420911763
Path planning optimization of six-degree-of-freedom robotic manipulators using evolutionary algorithms,10.1177/1729881420908076
Design of basketball robot based on behavior-based fuzzy control,10.1177/1729881420909965
Common Data Fusion Framework: An open-source Common Data Fusion Framework for space robotics,10.1177/1729881420911767
Robust tracking control for two classes of variable stiffness actuators based on linear extended state observer with estimation error compensation,10.1177/1729881420911774
The performance identification of gripper by isocline analysis,10.1177/1729881419900824
Computer vision-based techniques and path planning strategy in a slope monitoring system using unmanned aerial vehicle,10.1177/1729881420904303
Scheduling algorithm for the picture configuration for secondary tasks of a digital human–computer interface in a nuclear power plant,10.1177/1729881420911256
Research and development of monitoring system and data monitoring system and data acquisition of CNC machine tool in intelligent manufacturing,10.1177/1729881419898017
Parallel tracking and detection for long-term object tracking,10.1177/1729881420902577
A visual SLAM method based on point-line fusion in weak-matching scene,10.1177/1729881420904193
A fast calibration approach for onboard LiDAR-camera systems,10.1177/1729881420909606
Backstepping active disturbance rejection control for trajectory tracking of underactuated autonomous underwater vehicles with position error constraint,10.1177/1729881420909633
Data-driven product design toward intelligent manufacturing: A review,10.1177/1729881420911257
"Unsupervised learning of depth estimation, camera motion prediction and dynamic object localization from video",10.1177/1729881420909653
Robust long-term object tracking with adaptive scale and rotation estimation,10.1177/1729881420909736
Design of small humanoid fighting robot based on target recognition algorithm,10.1177/1729881420910661
Infrared image segmentation based on multi-information fused fuzzy clustering method for electrical equipment,10.1177/1729881420909600
Drift-free tracking via the construction of an effective dictionary,10.1177/1729881420929651
A new geometry-based secondary path planning for automatic parking,10.1177/1729881420930575
State feedback-based impedance control for legged robot hydraulic drive unit via full-dimensional state observer,10.1177/1729881420924611
Multiautonomous underwater vehicle consistent collaborative hunting method based on generative adversarial network,10.1177/1729881420925233
Coordinated path-following control for networked unmanned surface vehicles,10.1177/1729881420930578
Integrated navigation approaches of vehicle aided by the strapdown celestial angles,10.1177/1729881420932008
A modified YOLOv3 detection method for vision-based water surface garbage capture robot,10.1177/1729881420932715
Operation characteristic of supercritical carbon dioxide-cooled reactor system under coordination control scheme,10.1177/1729881420933833
Longitudinal motion control for high-speed trimaran based on computational fluid dynamics and predictive control,10.1177/1729881420925280
The gait planning of hexapod robot based on CPG with feedback,10.1177/1729881420930503
An improved bioinspired cognitive map-building system based on episodic memory recognition,10.1177/1729881420930948
Cycle slip detection and repair for BeiDou-3 triple-frequency signals,10.1177/1729881420926404
Adaptive Kalman filtering-based pedestrian navigation algorithm for smartphones,10.1177/1729881420930934
Improved singular robust inverse solutions of redundant serial manipulators,10.1177/1729881420932046
Cooperative navigation of unmanned aerial vehicle swarm based on cooperative dilution of precision,10.1177/1729881420932717
Magnetic linear driving method for high-voltage direct current inspection robot,10.1177/1729881420930933
Autonomous navigation and obstacle avoidance of an omnidirectional mobile robot using swarm optimization and sensors deployment,10.1177/1729881420929498
Adaptive chattering-free terminal sliding-mode control for full-order nonlinear system with unknown disturbances and model uncertainties,10.1177/1729881420925295
Incremental 3-D pose graph optimization for SLAM algorithm without marginalization,10.1177/1729881420925304
Artificial potential field-based swarm finding of the unmanned surface vehicles in the dynamic ocean environment,10.1177/1729881420925309
Apple harvesting robot under information technology: A review,10.1177/1729881420925310
A convolutional neural network approach for visual recognition in wheel production lines,10.1177/1729881420926879
Distributed target-encirclement guidance law for cooperative attack of multiple missiles,10.1177/1729881420929140
Ikaros: A framework for controlling robots with system-level brain models,10.1177/1729881420925002
A novel solution of inverse kinematic for 6R robot manipulator with offset joint based on screw theory,10.1177/1729881420925645
BOLeRo: Behavior optimization and learning for robots,10.1177/1729881420913741
Creative design for sandwich structures: A review,10.1177/1729881420921327
Building the executive system of autonomous aerial robots using the Aerostack open-source framework,10.1177/1729881420925000
Optimized visual recognition algorithm in service robots,10.1177/1729881420925308
Analysis and experiments with a 3D printed walking robot to improve climbing obstacle,10.1177/1729881420925282
Hue–saturation–intensity and texture feature-based cloud detection algorithm for unmanned aerial vehicle images,10.1177/1729881420903532
Adaptive dynamic programming-based controller with admittance adaptation for robot–environment interaction,10.1177/1729881420924610
Binocular stereovision omnidirectional motion handling robot,10.1177/1729881420926852
A novel mobile robot navigation method based on deep reinforcement learning,10.1177/1729881420921672
A three-dimensional mapping and virtual reality-based human–robot interaction for collaborative space exploration,10.1177/1729881420925293
Smoke recognition network based on dynamic characteristics,10.1177/1729881420925662
Design and control of a novel magnetic resonance imaging-compatible breast intervention robot,10.1177/1729881420927853
Null-space impedance control of 7-degree-of-freedom redundant manipulators based on the arm angles,10.1177/1729881420925297
Residual correction for robotic articulated arm coordinate measuring machine with radial basis function neural network,10.1177/1729881420925638
A light cable-driven manipulator developed for aerial robots: Structure design and control research,10.1177/1729881420926425
A new cellular manufacturing layout: Multi-floor linear cellular manufacturing layout,10.1177/1729881420925300
The automation control system of intelligent flexible clearing robot,10.1177/1729881420925631
Analysis and optimization of the wall-climbing robot with an adsorption system and adhesive belts,10.1177/1729881420926409
Composite clustering normal distribution transform algorithm,10.1177/1729881420912142
Design and development of autonomous robotic fish for object detection and tracking,10.1177/1729881420925284
Toward target search approach of swarm robotics in limited communication environment based on robot chains with elimination mechanism,10.1177/1729881420919954
A novel image edge smoothing method based on convolutional neural network,10.1177/1729881420921676
Modified honey bees mating optimization algorithm for multi-objective uncertain integrated process planning and scheduling problem,10.1177/1729881420925236
A real-time walking pattern recognition method for soft knee power assist wear,10.1177/1729881420925291
State measurement of isolating switch using cost fusion and smoothness prior based stereo matching,10.1177/1729881420925299
Depth estimation for a road scene using a monocular image sequence based on fully convolutional neural network,10.1177/1729881420925305
Research on autonomous underwater vehicle wall following based on reinforcement learning and multi-sonar weighted round robin mode,10.1177/1729881420925311
Dual-optimization trajectory planning based on parametric curves for a robot manipulator,10.1177/1729881420920046
Research on abnormal object detection in specific region based on Mask R-CNN,10.1177/1729881420925287
Research on decision-making strategy of soccer robot based on multi-agent reinforcement learning,10.1177/1729881420916960
An adaptive cooperation with reinforcement learning for robot soccer games,10.1177/1729881420921324
Leader–follower close formation control for underactuated surface vessel via terminal hierarchical sliding mode,10.1177/1729881420921012
Inverse calculation of demolition robot based on gravitational search algorithm and differential evolution neural network,10.1177/1729881420925298
Optimal control for networked control systems with multiple delays and packet dropouts,10.1177/1729881420913765
A survey of image semantics-based visual simultaneous localization and mapping: Application-oriented solutions to autonomous navigation of mobile robots,10.1177/1729881420919185
Object tracking algorithm for unmanned surface vehicle based on improved mean-shift method,10.1177/1729881420925294
Real-time GNSS precise positioning: RTKLIB for ROS,10.1177/1729881420904526
ROBIN: An open-source middleware for plug‘n’produce of Cyber-Physical Systems,10.1177/1729881420910316
Research on active collision avoidance algorithm for intelligent vehicle based on improved artificial potential field model,10.1177/1729881420911232
Research on path planning based on new fusion algorithm for autonomous vehicle,10.1177/1729881420911235
Incomplete angle reconstruction algorithm with the sparse optimization and the image optimal criterions,10.1177/1729881420916974
Practical design and implementation of an autonomous surface vessel prototype: Navigation and control,10.1177/1729881420919949
Mechanical design and force control algorithm for a robot leg with hydraulic series-elastic actuators,10.1177/1729881420921015
Emergency obstacle avoidance trajectory tracking control based on active disturbance rejection for autonomous vehicles,10.1177/1729881420921105
Case study: Performance analysis and development of robotized screwing application with integrated vision sensing system for automotive industry,10.1177/1729881420923997
Trajectory tracking sliding mode control for underactuated autonomous underwater vehicles with time delays,10.1177/1729881420916276
Trajectory tracking control for chain-series robot manipulator: Robust adaptive fuzzy terminal sliding mode control with low-pass filter,10.1177/1729881420916980
Key technologies of intelligent transportation based on image recognition,10.1177/1729881420917277
Adaptive sliding mode control for disturbed multirobot systems performing target tracking under continuously time-varying topologies,10.1177/1729881420921018
Path planning of lunar robot based on dynamic adaptive ant colony algorithm and obstacle avoidance,10.1177/1729881419898979
Transportable open-source application program interface and user interface for generic humanoids: TOUGH,10.1177/1729881420921607
Accurate moving object segmentation in unconstraint videos based on robust seed pixels selection,10.1177/1729881420947273
Learning to balance the coherence and diversity of response generation in generation-based chatbots,10.1177/1729881420953006
Aerodynamic analysis and control for a novel coaxial ducted fan aerial robot in ground effect,10.1177/1729881420953026
Multi-attribute self-attention guided vehicle local region detection based on convolutional neural network architecture,10.1177/1729881420944343
Trend-aware motion planning for wheeled mobile robots operating in dynamic environments,10.1177/1729881420925292
Continuous shared control in prosthetic hand grasp tasks by Deep Deterministic Policy Gradient with Hindsight Experience Replay,10.1177/1729881420936851
Development and application of a temperature gradient detector for manned underwater robot,10.1177/1729881420916963
Control of trotting gait for load-carrying quadruped walking vehicle with eccentric torso,10.1177/1729881420931676
Robust tracking control of an underwater vehicle and manipulator system based on double closed-loop integral sliding mode,10.1177/1729881420941778
Autonomous navigation control based on improved adaptive filtering for agricultural robot,10.1177/1729881420925357
Control theory and signal processing in machine vision for navigation,10.1177/1729881420926470
Improved neural network-based adaptive tracking control for manipulators with uncertain dynamics,10.1177/1729881420947562
Comprehensive evaluation of robotic global performance based on modified principal component analysis,10.1177/1729881419896881
Development of collision avoidance system for multiple autonomous mobile robots,10.1177/1729881420923967
New development of the dynamic modeling and the inverse dynamic analysis for flexible robot,10.1177/1729881420943341
Broadcast control of multi-robot systems with norm-limited update vector,10.1177/1729881420945958
Design and kinematics analysis of coordinated variable wheel-track walking mechanism,10.1177/1729881420930577
A review on the wavelet methods for sonar image segmentation,10.1177/1729881420936091
Multiclass obstacles detection and classification using stereovision and Bayesian network for intelligent vehicles,10.1177/1729881420947270
Efficient and robust approaches for three-dimensional sound source recognition and localization using humanoid robots sensor arrays,10.1177/1729881420941357
Path following of underactuated surface ships based on model predictive control with neural network,10.1177/1729881420945956
Unmanned aerial vehicle abstraction layer: An abstraction layer to operate unmanned aerial vehicles,10.1177/1729881420925011
Sensor-network-based navigation of delivery robot for baggage handling in international airport,10.1177/1729881420944734
Locomotion generation for a mobile manipulator by global minimization of the weighted generalized momentum,10.1177/1729881420930936
Improve YOLOv3 using dilated spatial pyramid module for multi-scale object detection,10.1177/1729881420936062
An improved boundary-aware face alignment using stacked dense U-Nets,10.1177/1729881420940900
Error correction of depth images for multiview time-of-flight vision sensors,10.1177/1729881420942379
Adaptive neural network sliding mode control for active suspension systems with electrohydraulic actuator dynamics,10.1177/1729881420941986
Adaptive agent tracking approach for oil contamination in water environments,10.1177/1729881420940217
Robotics services at home support,10.1177/1729881420925018
Magnetostrictive tactile sensor of detecting friction and normal force for object recognition,10.1177/1729881420932327
Control system of the six-axis serial manipulator based on active disturbance rejection control,10.1177/1729881420939476
Development of a vision-based target exploration system for snake-like robots in structured environments,10.1177/1729881420936141
Geometry-based finger kinematic models for joint rotation configuration and parameter estimation,10.1177/1729881420930576
Multipath modeling and mitigation by using sparse estimation in global navigation satellite system-challenged urban vehicular environments,10.1177/1729881420968696
Visual–tactile object recognition of a soft gripper based on faster Region-based Convolutional Neural Network and machining learning algorithm,10.1177/1729881420948727
Fuzzy polychromatic sets constraint model for route planning problem,10.1177/1729881420959240
Research on control method of unmanned underwater vehicle dynamic positioning based on energy consumption optimization,10.1177/1729881420933835
