Name,DOI
Exploring design trade-offs for achieving social inclusion in multi-tiered design problems,10.1080/0144929X.2019.1634153
Analysing trade-offs in frameworks for the design of smart environments,10.1080/0144929X.2019.1634760
Design trade-offs in self-management technology: the HeartMan case,10.1080/0144929X.2019.1634152
From TurnTalk to ClassTalk: the emergence of tangibles for class conversations in primary school classrooms,10.1080/0144929X.2019.1614226
Communicability of traditional interfaces VS chatbots in healthcare and smart home domains,10.1080/0144929X.2019.1637025
"Vol: 39, Issue: 2",
Internet of Things and social platforms: an empirical analysis from Indian consumer behavioural perspective,10.1080/0144929X.2019.1587001
Constructing a hybrid hierarchical value map to understand young peoples perceptions of social networking sites,10.1080/0144929X.2019.1589576
Computer-supported reflective learning: how apps can foster reflection at work,10.1080/0144929X.2019.1595726
Safe use of hospital information systems: an evaluation model based on a sociotechnical perspective,10.1080/0144929X.2019.1597164
The predictors of users satisfaction in an anonymous environment: the role of the negative true self,10.1080/0144929X.2019.1597165
The application of netnography to the online dating service experiences of female users,10.1080/0144929X.2019.1597167
"Vol: 39, Issue: 3",
Social media in conflicts and crises,10.1080/0144929X.2019.1629025
Breaking news: uncovering sense-breaking patterns in social media crisis communication during the 2017 Manchester bombing,10.1080/0144929X.2019.1611924
Use of Twitter in the Cameroon Anglophone crisis,10.1080/0144929X.2019.1620333
"Descriptive and visual summaries of disaster events using artificial intelligence techniques: case studies of Hurricanes Harvey, Irma, and Maria",10.1080/0144929X.2019.1610908
Mitigating information overload in social media during conflicts and crises: design and evaluation of a cross-platform alerting system,10.1080/0144929X.2019.1620334
Repertoires of collaboration: incorporation of social media help requests into the common operating picture,10.1080/0144929X.2019.1621934
A conceptual framework for developing solutions that organise social media information for emergency response teams,10.1080/0144929X.2019.1621933
"Vol: 39, Issue: 4",
"Individual characteristics influencing the sharing of knowledge on social networking services: online identity, self-efficacy, and knowledge sharing intentions",10.1080/0144929X.2019.1598494
Story-telling maps generated from semantic representations of events,10.1080/0144929X.2019.1569162
The impact of in-depth online recommendation agents on consumer disorientation and cognitive absorption perceptions,10.1080/0144929X.2019.1598496
Effects of feedback type and modality on motor skill learning and retention,10.1080/0144929X.2019.1599068
On the search behaviour of users in the context of interactive social book search,10.1080/0144929X.2019.1599069
From behaviour to design: implications for artifact ecologies as shared spaces for design activities,10.1080/0144929X.2019.1601258
Online and physical appropriation: evidence from a vignette experiment on copyright infringement,10.1080/0144929X.2019.1601771
"Vol: 39, Issue: 5",
The influence of visual complexity on initial user impressions: testing the persuasive model of web design,10.1080/0144929X.2019.1602167
Responsive bystander behaviour in cyberbullying: a path through self-efficacy,10.1080/0144929X.2019.1602671
Understanding users continuous content contribution behaviours on microblogs: an integrated perspective of uses and gratification theory and social influence theory,10.1080/0144929X.2019.1603326
Human uncertainty in explicit user feedback and its impact on the comparative evaluations of accurate prediction and personalisation,10.1080/0144929X.2019.1604804
Is smartphone addiction different from Internet addiction? comparison of addiction-risk factors among adolescents,10.1080/0144929X.2019.1604805
Proteus vs. social identity effects on virtual brainstorming,10.1080/0144929X.2019.1605408
"Vol: 39, Issue: 6",
Smart Cities at Play: Technology and Emerging forms of playfulness,10.1080/0144929X.2020.1749338
Factors that determine residents acceptance of smart city technologies,10.1080/0144929X.2019.1693629
The role of a location-based city exploration game in digital placemaking,10.1080/0144929X.2019.1697899
Seeing new in the familiar: intensifying aesthetic engagement with the city through new location-based technologies,10.1080/0144929X.2019.1677776
"Play in the smart city context: exploring interactional, bodily, social and spatial aspects of situated media interfaces",10.1080/0144929X.2019.1693630
Smart data at play: improving accessibility in the urban transport system,10.1080/0144929X.2019.1652852
Serious gaming as a means of facilitating truly smart cities: a narrative review,10.1080/0144929X.2019.1677775
"Vol: 39, Issue: 7",
Mapping Twitter hate speech towards social and sexual minorities: a lexicon-based approach to semantic content analysis,10.1080/0144929X.2019.1607903
Technology-assisted reconstruction: a new alternative to the experience sampling method,10.1080/0144929X.2019.1608303
The effect of communication and social motives on E-government services through social media groups,10.1080/0144929X.2019.1610907
Culture and social media: the relationship between cultural values and hashtagging styles,10.1080/0144929X.2019.1611923
A study on the role of trust factor in adopting personalised medicine,10.1080/0144929X.2019.1614225
Towards insight-driven sampling for big data visualisation,10.1080/0144929X.2019.1616223
Learning analytics techniques and visualisation with textual data for determining causes of academic failure,10.1080/0144929X.2019.1617349
Does techno-stress justify cyberslacking? An empirical study based on the neutralisation theory,10.1080/0144929X.2019.1617350
"Vol: 39, Issue: 8",
Older adults use of mobile device: usability challenges while navigating various interfaces,10.1080/0144929X.2019.1622786
Factors influencing the information security behaviour of IT employees,10.1080/0144929X.2019.1623322
Motivation factors and barriers to the continuous use of blended learning approach using Moodle: students' perceptions and individual differences,10.1080/0144929X.2019.1623323
Understanding the performance impact of the epidemic prevention cloud: an integrative model of the task-technology fit and status quo bias,10.1080/0144929X.2019.1624826
Making friends in online games: gender differences and designing for greater social connectedness,10.1080/0144929X.2019.1625442
Cortical processing of human and emoji faces: an ERP analysis,10.1080/0144929X.2019.1632933
"Vol: 39, Issue: 9",
Specific smartphone uses and how they relate to anxiety and depression in university students: a cross-cultural perspective,10.1080/0144929X.2019.1633405
"Relating video game exposure, sensation seeking, aggression and socioeconomic factors to school performance",10.1080/0144929X.2019.1634762
Gamification inducing creative ideation: a parallel mediation model,10.1080/0144929X.2019.1635646
Digital inclusion of people with disabilities: a qualitative study of intra-disability diversity in the digital realm,10.1080/0144929X.2019.1636136
Exploring influencing factors of technology use for active and healthy ageing support in older adults,10.1080/0144929X.2019.1637457
Evaluating an automated mediator for joint narratives in a conflict situation,10.1080/0144929X.2019.1637940
"Vol: 39, Issue: 10",
"Merging social computing with content: a proposal of a new film platform, Avids",10.1080/0144929X.2019.1641227
Reality-based interaction affecting mental workload in virtual reality mental arithmetic training,10.1080/0144929X.2019.1641228
Mitigating the harmful effects of technostress: inducing chaos theory in an experimental setting,10.1080/0144929X.2019.1641229
User-friendly search interface for older adults: supporting search goal refreshing in working memory to improve information search strategies,10.1080/0144929X.2019.1642384
"All my online-friends are better than me  three studies about ability-based comparative social media use, self-esteem, and depressive tendencies",10.1080/0144929X.2019.1642385
Online dispute resolution in mediating EHR disputes: a case study on the impact of emotional intelligence,10.1080/0144929X.2019.1645209
"Vol: 39, Issue: 11",
Identifying organisational learning needs: an approach to the semi-automatic creation of course structures for software companies,10.1080/0144929X.2019.1653372
Deterrent effects of punishment and training on insider security threats: a field experiment on phishing attacks,10.1080/0144929X.2019.1653992
Understanding the formation mechanism of mobile social networking site addiction: evidence from WeChat users,10.1080/0144929X.2019.1653993
Gamifying a BCSS: rehearsal and reflection in reinforcing a health message response,10.1080/0144929X.2019.1656778
Phishing: message appraisal and the exploration of fear and self-confidence,10.1080/0144929X.2019.1657180
Comparative evaluation of augmented reality-based assistance for procedural tasks: a simulated control room study,10.1080/0144929X.2019.1660805
Segmentation and recognition of continuous gesture based on chaotic theory,10.1080/0144929X.2019.1661519
"Vol: 39, Issue: 12",
Discovering MOOC learner motivation and its moderating role,10.1080/0144929X.2019.1661520
How nostalgic feelings impact Pokémon Go players  integrating childhood brand nostalgia into the technology acceptance theory,10.1080/0144929X.2019.1662486
Losing information is like losing an arm: employee reactions to data loss,10.1080/0144929X.2019.1662487
How drivers respond to visual vs. auditory information in advisory traffic information systems,10.1080/0144929X.2019.1667439
User misrepresentation in online social networks: how competition and altruism impact online disclosure behaviours,10.1080/0144929X.2019.1667440
Propensity for technological adoption: an analysis of effects size in the banking sector,10.1080/0144929X.2019.1667441
Generating actionable predictions regarding MOOC learners engagement in peer reviews,10.1080/0144929X.2019.1669222
"Vol: 38, Issue: 1",
Impact of digital content on young childrens reading interest and concentration for books,10.1080/0144929X.2018.1502807
An experimental study on the role of augmented reality content type in an outdoor site exploration,10.1080/0144929X.2018.1505950
Building presence in an online shopping website: the role of website quality,10.1080/0144929X.2018.1509127
Understanding continuance usage of mobile shopping applications in India: the role of espoused cultural values and perceived risk,10.1080/0144929X.2018.1513563
The final year project supervision in online distance learning: assessing students and faculty perceptions about communication tools,10.1080/0144929X.2018.1514423
Interactive data visualisation for accounting information: a three-fit perspective,10.1080/0144929X.2018.1514424
"The bot predicted rain, grab an umbrella: few perceived differences in communication quality of a weather Twitterbot versus professional and amateur meteorologists",10.1080/0144929X.2018.1514425
"Vol: 38, Issue: 2",
"Identifying commonalities and differences in personality characteristics of Internet and social media addiction profiles: traits, self-esteem, and self-construal",10.1080/0144929X.2018.1515984
Factors affecting reposting behaviour using a mobile phone-based user-generated-content online community application among Chinese young adults,10.1080/0144929X.2018.1515985
RAMES  Framework supporting user centred evaluation in research and practice,10.1080/0144929X.2018.1519034
"Helping older pedestrians navigate in the city: comparisons of visual, auditory and haptic guidance instructions in a virtual environment",10.1080/0144929X.2018.1519035
Cultural differences in social comparison on Facebook,10.1080/0144929X.2018.1519037
"How persuasive is phishing email? The role of authentic design, influence and current events in email judgements",10.1080/0144929X.2018.1519599
Sense-making strategies in explorative intelligence analysis of network evolutions,10.1080/0144929X.2018.1519036
Correction,10.1080/0144929X.2018.1519895
"Vol: 38, Issue: 3",
How perceptions of incivility and social endorsement in online comments (Dis) encourage engagements,10.1080/0144929X.2018.1523464
Making Mii: studying the effects of methodological approaches and gaming contexts on avatar customization,10.1080/0144929X.2018.1526969
Design fictions for behaviour change: exploring the long-term impacts of technology through the creation of fictional future prototypes,10.1080/0144929X.2018.1526970
Habit formation in social media consumption: a case of political engagement,10.1080/0144929X.2018.1529197
Determinants of emoticon usage in mobile instant messaging: a construal level theory perspective,10.1080/0144929X.2018.1531927
Dynamic model of online information quality perceptions and impacts: a literature review,10.1080/0144929X.2018.1531928
"Vol: 38, Issue: 4",
Deconstructing persuasiveness of strategies in behaviour change systems using the ARCS model of motivation,10.1080/0144929X.2018.1520302
"Examining the relationship between the Big Five, Grit and avoidance of automated communication scales in adults 4065",10.1080/0144929X.2018.1533996
The impact of psychological climate on employees innovative use of information systems: The moderating role of goal orientation,10.1080/0144929X.2018.1534988
Pictures tell a story: antecedents of rich-media curation in social network sites,10.1080/0144929X.2018.1535620
A comparison of three think-aloud protocols used to evaluate a voice intelligent agent that expresses emotions,10.1080/0144929X.2018.1535621
Antecedents of continued use and extended use of enterprise systems,10.1080/0144929X.2018.1536165
Bracelet: arms-down selection for Kinect mid-air gesture,10.1080/0144929X.2018.1536166
Advanced machine learning approaches to personalise learning: learning analytics and decision making,10.1080/0144929X.2018.1539517
Would you feel happier if you have more protection behaviour? A panel survey of university students in Japan,10.1080/0144929X.2018.1544275
"Vol: 38, Issue: 5",
Keeping secure to the end: a long-term perspective to understand employees consequence-delayed information security violation,10.1080/0144929X.2018.1539519
Understanding commitment and apathy in is security extra-role behavior from a person-organization fit perspective,10.1080/0144929X.2018.1539520
Assessing the performance of short multi-item questionnaires in aesthetic evaluation of websites,10.1080/0144929X.2018.1539521
On the road  listening to data subjects personal mobility data privacy concerns,10.1080/0144929X.2018.1540658
Trust trumps concern: findings from a seven-country study on consumer consent to digital native vs. digital immigrant service providers,10.1080/0144929X.2018.1541254
"Shaking the usability tree: why usability is not a dead end, and a constructive wayforward",10.1080/0144929X.2018.1541255
Understanding adolescent students use of Facebook and their subjective wellbeing: a gender-based comparison,10.1080/0144929X.2018.1543452
"Vol: 38, Issue: 6",
How compulsive use of social media affects performance: insights from the UK by purpose of use,10.1080/0144929X.2018.1539518
Fairy tale directed game-based training system for children with ADHD using BCI and motion sensing technologies,10.1080/0144929X.2018.1544276
"The relation between use intensity of private and professional SNS, social comparison, self-esteem, and depressive tendencies in the light of self-regulation",10.1080/0144929X.2018.1545049
Perspectives on the evolution of online communities,10.1080/0144929X.2018.1546901
The roles of media capabilities of smartphone-based SNS in developing social capital,10.1080/0144929X.2018.1546903
Effects of social-interactive engagement on the dropout ratio in online learning: insights from MOOC,10.1080/0144929X.2018.1549595
Smartphones or laptops in the collaborative classroom? A study of video-based learning in higher education,10.1080/0144929X.2018.1549596
"Vol: 38, Issue: 7",
Effects of macroergonomic compatibility of information and communication technologies on the performance of manufacturing systems,10.1080/0144929X.2018.1551422
Identification of usability problems and requirements of elderly Chinese users for smart TV interactions,10.1080/0144929X.2018.1551423
Web users with autism: eye tracking evidence for differences,10.1080/0144929X.2018.1551933
Keeping the user in the cloud: a cognitive social capital antecedent to use continuance and trust-commitment in personal cloud storage services,10.1080/0144929X.2018.1551934
User-defined gesture interaction for immersive VR shopping applications,10.1080/0144929X.2018.1552313
Revealing the relationship between rational fatalism and the online privacy paradox,10.1080/0144929X.2018.1552717
"Vol: 38, Issue: 8",
"The effects of helping, self-expression, and enjoyment on social capital in social media: the moderating effect of avoidance attachment in the tourism context",10.1080/0144929X.2018.1552718
Analysing observer preferences when presenting a product in a rendered scene: 2D vs. autostereoscopic 3D displays,10.1080/0144929X.2018.1554091
Emotions in Wikipedia: the role of intended negative events in the expression of sadness and anger in online peer production,10.1080/0144929X.2018.1554702
Understanding adolescents unfriending on Facebook by applying an extended theory of planned behaviour,10.1080/0144929X.2018.1557255
Understanding forced adoption of self-service technology: the impacts of users psychological reactance,10.1080/0144929X.2018.1557745
Smartphone addiction and associated consequences: role of loneliness and self-regulation,10.1080/0144929X.2018.1560499
The influence of organisational facilitating conditions and technology acceptance factors on the effectiveness of virtual communities of practice,10.1080/0144929X.2018.1564070
Identification and characterisation of Facebook user profiles considering interaction aspects,10.1080/0144929X.2019.1566498
"Vol: 38, Issue: 9",
Rethinking key issues for understanding the new challenges of disruption and digital transformation in companies and economies,10.1080/0144929X.2019.1641663
The influence of ICT-driven innovation: a comparative study on national innovation efficiency between developed and emerging countries,10.1080/0144929X.2019.1584645
Analysis of tweets about football: 2013 and 2018 leagues in Turkey,10.1080/0144929X.2019.1583284
Opera-oriented character relations extraction for role interaction and behaviour Understanding: a deep learning approach,10.1080/0144929X.2019.1584246
Examination of the effects of computer-based mathematics instruction methods in children with mathematical learning difficulties: a meta-analysis,10.1080/0144929X.2019.1597166
The who and the what in international migration research: data-driven analysis of Scopus-indexed scientific literature,10.1080/0144929X.2019.1583282
Big data and IoT solution for patient behaviour monitoring,10.1080/0144929X.2019.1584245
Applying big data and stream processing to the real estate domain,10.1080/0144929X.2019.1620858
An adaptive doctor-recommender system,10.1080/0144929X.2019.1625441
Integrating TTF and IDT to evaluate user intention of big data analytics in mobile cloud healthcare system,10.1080/0144929X.2019.1626486
Sentiment mining in a collaborative learning environment: capitalising on big data,10.1080/0144929X.2019.1625440
"Vol: 38, Issue: 10",
Editorial,10.1080/0144929X.2019.1668154
"Design, development and evaluation of a human-computer trust scale",10.1080/0144929X.2019.1656779
Exploring temporal behaviour of app users completing ecological momentary assessments using mental health scales and mood logs,10.1080/0144929X.2019.1648553
Musical sonification supports visual discrimination of color intensity,10.1080/0144929X.2019.1657952
Cognitive ergonomics for data analysis. Experimental study of cognitive limitations in a data-based judgement task,10.1080/0144929X.2019.1657181
Compliant activity rather than difficulty accelerates thought probe responsiveness and inhibits deliberate mind wandering,10.1080/0144929X.2019.1655095
Effects on cognition of the burn after reading principle in ephemeral media applications,10.1080/0144929X.2019.1659853
"Vol: 38, Issue: 11",
On the perceptions and acceptance of artificially intelligent robotics and the psychology of the future elderly,10.1080/0144929X.2019.1566499
Behavioural threshold analysis: methodological and practical considerations for applications in information security,10.1080/0144929X.2019.1569163
Creating collaborative groups in a MOOC: a homogeneous engagement grouping approach,10.1080/0144929X.2019.1571109
Exploring e-mentoring: co-designing & un-platforming,10.1080/0144929X.2019.1571110
"The effects of design, size, and uniqueness of smartwatches: perspectives from current versus potential users",10.1080/0144929X.2019.1571111
Identifying behavioural changes for health monitoring applications using the advanced metering infrastructure,10.1080/0144929X.2019.1574900
A systematic mapping study of gamification models oriented to motivational characteristics,10.1080/0144929X.2019.1576768
"Vol: 38, Issue: 12",
Clicking for change: the role of empathy and negative affect on engagement with a charitable social media campaign,10.1080/0144929X.2019.1578827
Recognise misinformation and verify before sharing: a reasoned action and information literacy perspective,10.1080/0144929X.2019.1578828
Cyberloafing and personality traits: an investigation among knowledge-workers across the Iranian knowledge-intensive sectors,10.1080/0144929X.2019.1580311
What happens when decision support systems fail?  the importance of usability on performance in erroneous systems,10.1080/0144929X.2019.1581258
Investigating factors affecting learners perception toward online learning: evidence from ClassStart application in Thailand,10.1080/0144929X.2019.1581259
System- vs. consumer-generated recommendations: affective and social-psychological effects on purchase intention,10.1080/0144929X.2019.1583285
Does opportunity make the thief? Abilities and moral disengagement in illegal downloading,10.1080/0144929X.2019.1583768
The impact of time pressure on cybersecurity behaviour: a systematic literature review,10.1080/0144929X.2019.1583769
Handling of online information by users: evidence from TED talks,10.1080/0144929X.2019.1584244
Factors affecting smart community service adoption intention: affective community commitment and motivation theory,10.1080/0144929X.2019.1585475
A double-edged sword? Exploring the impact of students academic usage of mobile devices on technostress and academic performance,10.1080/0144929X.2019.1585476
Exploring the variability of media multitasking choice behaviour using a network approach,10.1080/0144929X.2019.1589575
"Exposure to a pleasant odour may increase the sense of reality, but not the sense of presence or realism",10.1080/0144929X.2019.1590458
"Vol: 37, Issue: 1",
Exploring the influence of a human-like dancing virtual character on the evocation of human emotion,10.1080/0144929X.2017.1386714
"Saving face on Facebook: privacy concerns, social benefits, and impression management",10.1080/0144929X.2017.1389988
Outdoor ubiquitous learning or indoor CAL? Achievement and different cognitive loads of college students,10.1080/0144929X.2017.1394366
How senior management and workplace norms influence information security attitudes and self-efficacy,10.1080/0144929X.2017.1397193
Awareness and handoffs in home care: coordination among informal caregivers,10.1080/0144929X.2017.1405073
Time effect of disconfirmation on online shopping,10.1080/0144929X.2017.1406004
"Vol: 37, Issue: 2",
Internet of Things-based student performance evaluation framework,10.1080/0144929X.2017.1407824
UK publics intention to engage with academia via online technologies,10.1080/0144929X.2017.1410725
Student teachers satisfaction for blended learning via Edmodo learning management system,10.1080/0144929X.2017.1417481
Exploring the motivational factors on continuous usage intention of smartwatches among actual users,10.1080/0144929X.2018.1424246
Flow on the Internet: a longitudinal study of Internet addiction symptoms during adolescence,10.1080/0144929X.2018.1424937
Development of an adoption model to assess user acceptance of e-service technology: E-Service Technology Acceptance Model,10.1080/0144929X.2018.1427793
"Vol: 37, Issue: 3",
Corroborating students self-reports of source evaluation,10.1080/0144929X.2018.1430849
Pre-Implementation evaluation of a nationwide information system for university hospitals: lessons learned from a study in Brazil,10.1080/0144929X.2018.1430850
Coming of old age: understanding older adults engagement and needs in coproduction activities for healthy ageing,10.1080/0144929X.2018.1432686
"Perceptions of overuse, underuse, and change of use of a social media site: definition, measurement instrument, and their managerial impacts",10.1080/0144929X.2018.1432687
From risk factors to detection and intervention: a practical proposal for future work on cyberbullying,10.1080/0144929X.2018.1432688
Does family life cycle stage influence e-shopping acceptance by Indian women? An examination using the technology acceptance model,10.1080/0144929X.2018.1434560
Exploring users experiences of using personal cloud storage services: a phenomenological study,10.1080/0144929X.2018.1435722
"Vol: 37, Issue: 4",
"The impact of organisational support, technical support, and self-efficacy on faculty perceived benefits of using learning management system",10.1080/0144929X.2018.1436590
An empirical study examining the perceptions and behaviours of security-conscious users of mobile authentication,10.1080/0144929X.2018.1436591
Designing a personal informatics system for users without experience in self-tracking: a case study,10.1080/0144929X.2018.1436592
Digital inclusion and online behaviour: five typologies of Australian internet users,10.1080/0144929X.2018.1436593
Determinants of students continuance intention to use blogs to learn: an empirical investigation,10.1080/0144929X.2018.1436594
E-learning adoption of academicians: a proposal for an extended model,10.1080/0144929X.2018.1437219
Understanding novelty: how task structure and tool familiarity moderate performance,10.1080/0144929X.2018.1441325
Student interactions in online discussion forums: their perception on learning with business simulation games,10.1080/0144929X.2018.1441326
"Vol: 37, Issue: 5",
Self-efficacy about information retrieval on the web across all domains: a short measure in French and English,10.1080/0144929X.2018.1449252
Effects of an online team project-based learning environment with group awareness and peer evaluation on socially shared regulation of learning and self-regulated learning,10.1080/0144929X.2018.1451558
"Relationship among Facebook jealousy, aggression, and personal and relationship variables",10.1080/0144929X.2018.1451919
Understanding online consumers purchase intentions: a contribution from social network theory,10.1080/0144929X.2018.1456563
Processing privacy information and decision-making for smartphone apps among young German smartphone users,10.1080/0144929X.2018.1458902
You talking to me? The influence of peer communication on adolescents persuasion knowledge and attitude towards social advertisements,10.1080/0144929X.2018.1458903
Insights from surgeons eye-movement data in a virtual simulation surgical training environment: effect of experience level and hand conditions,10.1080/0144929X.2018.1460399
"Vol: 37, Issue: 6",
"Acceptability of a custom-designed game, CityQuest, aimed at improving balance confidence and spatial cognition in fall-prone and healthy older adults",10.1080/0144929X.2018.1462402
Internet Gaming Disorder: the interplay between physical activity and useravatar relationship,10.1080/0144929X.2018.1464599
Unfolding the privacy paradox among mobile social commerce users: a multi-mediation approach,10.1080/0144929X.2018.1465997
Designing an electronic performance support system for technology-rich environments,10.1080/0144929X.2018.1469669
A framework for informing consumers on the ecological impact of products at point of sale,10.1080/0144929X.2018.1470254
"Interplay between trust, information privacy concerns and behavioural intention of users on online social networks",10.1080/0144929X.2018.1470671
Caregivers as a proxy for responses of dementia clients in a GPS technology acceptance study,10.1080/0144929X.2018.1470672
"Vol: 37, Issue: 7",
Towards learner-constructed e-learning environments for effective personal learning experiences,10.1080/0144929X.2018.1470673
Identity and performance in technical Q&A,10.1080/0144929X.2018.1474251
Customer benefits and value co-creation activities in corporate social networking services,10.1080/0144929X.2018.1474252
Tablet game-supported speech therapy embedded in childrens popular practices,10.1080/0144929X.2018.1474253
Tutoring executives online: what drives perceived quality?,10.1080/0144929X.2018.1474254
How do entrepreneurs learn and engage in an online community-of-practice? A case study approach,10.1080/0144929X.2018.1474255
Context-aware services based on spatio-temporal zoning and crowdsourcing,10.1080/0144929X.2018.1476586
"Vol: 37, Issue: 8",
