pName,doi
Determination of Player Types according to Digital Game Playing Preferences: Scale Development and Validation Study,10.1080/10447318.2020.1861765
Assessing Academics Perceptions of Blackboard Usability Using SUS and CSUQ: A Case Study during the COVID-19 Pandemic,10.1080/10447318.2020.1861766
Can an Engagement Platform Persuade Students to Stay? Applying Behavioral Models for Retention,10.1080/10447318.2020.1861801
Memoryscapes: Designing Situated Narratives of Place through Heritage Collections,10.1080/10447318.2020.1865004
Insights into Older Adults Technology Acceptance through Meta-Analysis,10.1080/10447318.2020.1865005
Effect of Imperfect Information and Action Automation on Attentional Allocation,10.1080/10447318.2020.1870817
Evaluating Use of the Doppler Effect to Enhance Auditory Alerts,10.1080/10447318.2020.1870818
Correction,10.1080/10447318.2020.1865601
Video Game Interfaces and Diegesis: The Impact on Experts and Novices Performance and Experience in Virtual Reality,10.1080/10447318.2020.1870819
Ping Pong: An Exergame for Cognitive Inhibition Training,10.1080/10447318.2020.1870826
Study of Full-body Virtual Embodiment Using noninvasive Brain Stimulation and Imaging,10.1080/10447318.2020.1870827
"The More, the Merrier? - How Adding and Removing Game Design Elements Impact Motivation and Performance in a Gamification Environment",10.1080/10447318.2020.1870828
Interpersonalizing Intimate Museum Experiences,10.1080/10447318.2020.1870829
Screen Mirroring is not as Easy as it Seems: A Closer Look at Older Adults Cross-Device Experience Through Touch Gestures,10.1080/10447318.2020.1870830
Empirical Decision Rules for Improving the Uncertainty Reporting of Small Sample System Usability Scale Scores,10.1080/10447318.2020.1870831
The Effects of Feedback and Goal on the Quality of Crowdsourcing Tasks,10.1080/10447318.2021.1876355
Visualizing Off-screen Targets: Effects of Response Time and Visual Cue Design on Users Wayfinding Performance Using a Dynamic Peephole Interface,10.1080/10447318.2021.1876356
Selfish or Utilitarian Automated Vehicles? Deontological Evaluation and Public Acceptance,10.1080/10447318.2021.1876357
"Exploring Influence Factors of WeChat Users Health Information Sharing Behavior: Based on an Integrated Model of TPB, UGT and SCT",10.1080/10447318.2021.1876358
Characteristics of Technology Adoption by Older Adults with Visual Disabilities,10.1080/10447318.2021.1876359
The Effect of Value Similarity on Trust in the Automation Systems: A Case of Transportation and Medical Care,10.1080/10447318.2021.1876360
Mobile Application User Experience Checklist: A Tool to Assess Attention to Core UX Principles,10.1080/10447318.2021.1876361
Vol36_2020,
TapSix: A Palm-Worn Glove with a Low-Cost Camera Sensor that Turns a Tactile Surface into a Six-Key Chorded Keyboard by Detection Finger Taps,10.1080/10447318.2019.1597573
Cyberslacking or Smart Work: Smartphone Usage Log-Analysis Focused on App-Switching Behavior in Work and Leisure Conditions,10.1080/10447318.2019.1597574
Runners Perspectives on Smart Wearable Technology and Its Use for Preventing Injury,10.1080/10447318.2019.1597575
Evaluating Simultaneous Visual Instructions with Kindergarten Children on Touchscreen Devices,10.1080/10447318.2019.1597576
A Dynamic User Interface Based BCI Environmental Control System,10.1080/10447318.2019.1604473
Interactive Immersive Public Displays as Facilitators for Deeper Participation in Urban Planning,10.1080/10447318.2019.1606476
Investigating the Combination of Adaptive UIs and Adaptable UIs for Improving Usability and User Performance of Complex UIs,10.1080/10447318.2019.1606975
Objective Design to Subjective Evaluations: Connecting Visual Complexity to Aesthetic and Usability Assessments of eHealth,10.1080/10447318.2019.1606976
BrainComputer Interface Games Based on Consumer-Grade EEG Devices: A Systematic Literature Review,10.1080/10447318.2019.1612213
Relationship between System Parameters and Operators Haptic Sensation in Bilateral Controlled MasterSlave System,10.1080/10447318.2019.1608677
Predicting the Use of Brand Application Based on a TRAM,10.1080/10447318.2019.1609227
Healthier Life with Digital Companions: Effects of Reflection-Level and Statement-Type of Messages on Behavior Change via a Perceived Companion,10.1080/10447318.2019.1615722
Psychosocial Outcomes Associated with Engagement with Online Chat Systems,10.1080/10447318.2019.1620524
Development of an Approach to Measuring Learnability Based on NGOMSL from Perspectives of Extended Learnability,10.1080/10447318.2019.1625569
Characteristics of Chinese Online Movie Reviews and Opinion Leadership Identification,10.1080/10447318.2019.1625570
"Aiming the Mobile Targets in a Cross-Cultural Context: Effects of Trust, Privacy Concerns, and Attitude",10.1080/10447318.2019.1625571
Moderating Role of Long-Term Orientation on Augmented Reality Adoption,10.1080/10447318.2019.1630933
Understanding Interaction Design Challenges in Mobile Extreme Citizen Science,10.1080/10447318.2019.1630934
The Role of Flow in Dissemination of Recommendations for Hedonic Products in User-Generated Review Websites,10.1080/10447318.2019.1631543
"Correlations between Human Performance in Information Seeking, Information Integration, and Overall Process in Diagnostic Tasks",10.1080/10447318.2019.1631545
Takeover Transition in Autonomous Vehicles: A YouTube Study,10.1080/10447318.2019.1634317
The Effects of Interactivity on the Attitudes and Intentions about Second-hand Smoke: Comparison of Two Mechanisms,10.1080/10447318.2019.1636509
Anticipated Emotions in Initial Trust Evaluations of a Drone System Based on Performance and Process Information,10.1080/10447318.2019.1642616
Continuous Stress Monitoring under Varied Demands Using Unobtrusive Devices,10.1080/10447318.2019.1642617
Creating Effective Automation to Maintain Explicit User Engagement,10.1080/10447318.2019.1642618
Planting the Seed of Positive Human-IoT Interaction,10.1080/10447318.2019.1642674
Examining Course Layouts in Blackboard: Using Eye-Tracking to Evaluate Usability in a Learning Management System,10.1080/10447318.2019.1644841
"The Social Media Party: Fear of Missing Out (FoMO), Social Media Intensity, Connection, and Well-Being",10.1080/10447318.2019.1646517
Students Continuance Intention Toward Programming Games: Hedonic and Utilitarian Aspects,10.1080/10447318.2019.1647665
"The Effect of Online Customization on Consumers Happiness and Purchase Intention and the Mediating Roles of Autonomy, Competence, and Pride of Authorship",10.1080/10447318.2019.1658375
Designing an Electronic Brainstorming Environment for Engaging East-Asian Teams,10.1080/10447318.2019.1649970
Autonomous Taxi Service Design and User Experience,10.1080/10447318.2019.1653556
The Role of Individuals Need for Online Social Interactions and Interpersonal Incompetence in Digital Game Addiction,10.1080/10447318.2019.1654696
Assessing Engagement during Rescue Operation Simulated in Virtual Reality: A Psychophysiological Study,10.1080/10447318.2019.1655905
Enhancing Social Closeness between Drivers by Digital Augmentation,10.1080/10447318.2019.1662635
"Human-Centered Artificial Intelligence: Reliable, Safe & Trustworthy",10.1080/10447318.2020.1741118
Social Environment Simulation in VR Elicits a Distinct Reaction in Subjects with Different Levels of Anxiety and Somatoform Dissociation,10.1080/10447318.2019.1661608
"Multilingual NewsAn Investigation of Consumption, Querying, and Search Result Selection Behaviors",10.1080/10447318.2019.1662636
A Toolkit for Prototyping Tabletop-Centric Cross-Device Interaction,10.1080/10447318.2019.1662667
A Cross-organizational Ecology for Virtual Communities of Practice in Higher Education,10.1080/10447318.2019.1664067
Does a Smile Matter if the Person Is Not Real?: The Effect of a Smile and Stock Photos on Persona Perceptions,10.1080/10447318.2019.1664068
"A Systematic Review of the Personality of Robot: Mapping Its Conceptualization, Operationalization, Contextualization and Effects",10.1080/10447318.2019.1663008
Correction,10.1080/10447318.2019.1706710
Investigating the Willingness of Sharing Real-Time Daily Activities among Friends,10.1080/10447318.2019.1664532
"Leap Motion- and Mouse-Based Target Selection: Productivity, Perceived Comfort and Fatigue, User Preference, and Perceived Usability",10.1080/10447318.2019.1666511
Abnormal Usage Sequence Detection for Identification of User Needs via Recurrent Neural Network Semantic Variational Autoencoder,10.1080/10447318.2019.1669320
An Evaluation of Uncertainty and Anticipatory Anxiety Impacts on Technology Use,10.1080/10447318.2019.1672410
Robot Transparency and Team Orientation Effects on HumanRobot Teaming,10.1080/10447318.2019.1676519
The Impact of Virtual Reality on Curiosity and Other Positive Characteristics,10.1080/10447318.2019.1676520
Effects of Progressive Visuospatial Cues on EFL Learners Processing of Animated Visualizations Through Mobile Device,10.1080/10447318.2019.1677037
Grasping VR: Presence of Pseudo-Haptic Interface Based Portable Hand Grip System in Immersive Virtual Reality,10.1080/10447318.2019.1680920
Design of Semantic-Based Colorization of Graphical User Interface Through Conditional Generative Adversarial Nets,10.1080/10447318.2019.1680921
Translation and Validation of the System Usability Scale in a Danish Mental Health Setting Using Digital Technologies in Treatment Interventions,10.1080/10447318.2019.1680922
Decreasing the Presentation Speed of Animated Soccer Scenes Does Not Always Lead to Better Learning Outcomes in Young Players,10.1080/10447318.2019.1681658
Exploring the Typology and Impacts of Audience Gratifications Gained from TVSmartphone Multitasking,10.1080/10447318.2019.1683312
Can You Easily Perceive the Local Environment? A User Interface with One Stitched Live Video for Mobile Robotic Telepresence Systems,10.1080/10447318.2019.1685194
A Formal Modeling Framework for the Implementation of Gaze Guiding as an Adaptive Computer-Based Job Aid for the Control of Complex Technical Systems,10.1080/10447318.2019.1687234
Investigation of an EEG-based Indicator of Skill Acquisition as Novice Participants Practice a Lifeboat Maneuvering Task in a Simulator,10.1080/10447318.2019.1687235
Persona Transparency: Analyzing the Impact of Explanations on Perceptions of Data-Driven Personas,10.1080/10447318.2019.1688946
Bibliometric Analysis of Affective Computing Researches during 1999~2018,10.1080/10447318.2019.1688985
Using Physiological Recordings for Studying User Experience: Case of Conversational Agent-Equipped TV,10.1080/10447318.2019.1693166
Combined Effect of Multiple Performance Shaping Factors on Human Reliability: Multiplicative or Additive?,10.1080/10447318.2019.1695461
Social Glasses: Simulating Interactive Gaze for Visually Impaired People in Face-to-Face Communication,10.1080/10447318.2019.1696513
Adaptive Visual Assistance System for Enhancing the Driver Awareness of Pedestrians,10.1080/10447318.2019.1698220
How Users First Impression Forms on Mobile user Interface?: An ERPs Study,10.1080/10447318.2019.1699745
"Who Do You Prefer? The Effect of Age, Gender and Role on Users First Impressions of Embodied Conversational Agents in eHealth",10.1080/10447318.2019.1699744
A Systematic Review of a Virtual Reality System from the Perspective of User Experience,10.1080/10447318.2019.1699746
User-Centered Design Approaches to Integrating Intellectual Property Information into Early Design Processes with a Design Patent Retrieval Application,10.1080/10447318.2019.1699747
"Perceiving a Mind in a Chatbot: Effect of Mind Perception and Social Cues on Co-presence, Closeness, and Intention to Use",10.1080/10447318.2019.1699748
Predictors of Perceived Learning in a Distance Learning Environment from the Perspective of SIPS Model,10.1080/10447318.2019.1700643
"Chinese System Usability Scale: Translation, Revision, Psychological Measurement",10.1080/10447318.2019.1700644
Using Live Video Streaming in Online Tutoring: Exploring Factors Affecting Social Interaction,10.1080/10447318.2019.1706288
User-Defined Gestures for Dual-Screen Mobile Interaction,10.1080/10447318.2019.1706331
User Acceptance of Virtual Reality: An Extended Technology Acceptance Model,10.1080/10447318.2019.1708612
An Exploratory Study Using Electroencephalography (EEG) to Measure the Smartphone User Experience in the Short Term,10.1080/10447318.2019.1709330
Investigating the Crowds Creativity for Creating On-Demand IoT Scenarios,10.1080/10447318.2019.1709331
An Arabic Adaptation of the Usability Metric for User Experience (UMUX),10.1080/10447318.2019.1709332
The Assessment Scale for Creative Collaboration (ASCC) Validation and Reliability Study,10.1080/10447318.2019.1709338
Reliability of Perceived Usability Assessment via Crowdsourcing Platform: Retrospective Analysis and Novel Feedback Quality Inspection Method,10.1080/10447318.2019.1709339
Impacts of Situational Factors on Consumers Adoption of Mobile Payment Services: A Decision-Biases Perspective,10.1080/10447318.2020.1722400
Determinants of Trust in Health Information Technology: An Empirical Investigation in the Context of an Online Clinic Appointment System,10.1080/10447318.2020.1712061
"The Influence of Smartphone Text Input Method, Posture, and Environment on User Experience",10.1080/10447318.2020.1719465
Inciting Incidents: How Can We Motivate Family Conversations about Health?,10.1080/10447318.2020.1720442
Designing Embodied Virtual Agents as Product Specialists in a Multi-Product Category E-Commerce: The Roles of Source Credibility and Social Presence,10.1080/10447318.2020.1722399
Effect of Warning Graphics Location on Driving Performance: An Eye Movement Study,10.1080/10447318.2020.1722401
Cybersickness in Virtual Reality Head-Mounted Displays: Examining the Influence of Sex Differences and Vehicle Control,10.1080/10447318.2020.1726108
Understanding Continuance Intention toward Crowdsourcing Games: A Longitudinal Investigation,10.1080/10447318.2020.1724010
Multi-Device Use: Understanding the Motivations behind Switching between Multiple Devices during a Task,10.1080/10447318.2020.1726106
Correction,10.1080/10447318.2020.1732034
Player Experience of Needs Satisfaction (PENS) in an Immersive Virtual Reality Exercise Platform Describes Motivation and Enjoyment,10.1080/10447318.2020.1726107
Gaming Insight: Conversion of Popular Sedentary Games into Motion-Based Form,10.1080/10447318.2020.1726597
Perceived Usability and the Modified Technology Acceptance Model,10.1080/10447318.2020.1727262
Effects of Cognitive Style and Information Acquisition Method on Diagnosis Task Performance,10.1080/10447318.2020.1728613
Haptic Feedback Helps Me? A VR-SAR Remote Collaborative System with Tangible Interaction,10.1080/10447318.2020.1732140
External Interface-based Autonomous Vehicle-to-Pedestrian Communication in Urban Traffic: Communication Needs and Design Considerations,10.1080/10447318.2020.1736891
Customization Support in Computer-Based Technologies for Autism: A Systematic Mapping Study,10.1080/10447318.2020.1731673
Acknowledgement to reviewers for reviews completed between January - December 2019,10.1080/10447318.2020.1727135
Home-care Professionals Ethical Perceptions of the Development and Use of Home-care Robots for Older Adults in Japan,10.1080/10447318.2020.1736809
Does Emotional Intelligence of Online Shoppers Affect Their Shopping Behavior? From a Cognitive-Affective-Conative Framework Perspective,10.1080/10447318.2020.1739882
Chinas New Mania for Live Streaming: Gender Differences in Motives and Uses of Social Live Streaming Services,10.1080/10447318.2020.1746060
I Am Most Grateful. Using Gratitude to Improve the Sense of Relatedness and Motivation for Online Volunteerism,10.1080/10447318.2020.1746061
How Can Online Communities Support Resilience Factors among Older Adults,10.1080/10447318.2020.1749817
"Designing a Scalable, Accessible, and Effective Mobile App Based Solution for Common Mental Health Problems",10.1080/10447318.2020.1750792
Differentiating between the Need for and the Experience of Self-determination Regarding Their Influence on Pupils Learning of Creativity through Story-based Digital Games,10.1080/10447318.2020.1750793
Automatic Nonverbal Mimicry Detection and Analysis in Medical Video Consultations,10.1080/10447318.2020.1752474
Design Guidelines for Schematizing and Rendering Haptically Perceivable Graphical Elements on Touchscreen Devices,10.1080/10447318.2020.1752464
Dangerous or Desirable: Utilizing Augmented Content for Field Policing,10.1080/10447318.2020.1752473
Enterprise Social Media and Cyber-slacking: An Integrated Perspective,10.1080/10447318.2020.1752475
Emotional Satisfaction and IS Continuance Behavior: Reshaping the Expectation-Confirmation Model,10.1080/10447318.2020.1752478
Empowering Caregivers to Customizing the Assistive Computing Support of Older Adults - an End-User Domain-Specific Approach,10.1080/10447318.2020.1752479
From Consensus to Innovation. Evolving Towards Crowd-based User-Centered Design,10.1080/10447318.2020.1753333
Feedback Control to a Static Target Angle in the Middle Finger Metacarpophalangeal Joint Using Functional Electrical Stimulation,10.1080/10447318.2020.1758879
Correction,10.1080/10447318.2020.1765948
"Talking Head-based L2 Pronunciation Training: Impact on Achievement Emotions, Cognitive Load, and Their Relationships with Learning Performance",10.1080/10447318.2020.1752476
A Shoe Is a Shoe Is a Shoe: Interpersonalization and Meaning-making in Museums  Research Findings and Design Implications,10.1080/10447318.2020.1767982
Towards Personalized Movie Selection for Wellness: Investigating Event-Inspired Movies,10.1080/10447318.2020.1768665
Estimating Level of Engagement from Ocular Landmarks,10.1080/10447318.2020.1768666
Effect of Visual Awareness of the Real Hand on User Performance in Partially Immersive Virtual Environments: Presence of Virtual Kinesthetic Conflict,10.1080/10447318.2020.1768667
User Requirement Analysis for Smart Voice Technology for Older Adults with Visual Impairments,10.1080/10447318.2020.1768676
Interactive Web Documentaries: A Case Study of Audience Reception and User Engagement on iOtok,10.1080/10447318.2020.1757255
A Quantitative Measurement Model for Persuasive Technologies Using Storytelling via a Virtual Narrator,10.1080/10447318.2020.1768670
Open Challenges of Blind People Using Smartphones,10.1080/10447318.2020.1768672
Older Adults and Web 2.0 Storytelling Technologies: Probing the Technology Acceptance Model through an Age-related Perspective,10.1080/10447318.2020.1768673
Exposed by AIs! People Personally Witness Artificial Intelligence Exposing Personal Information and Exposing People to Undesirable Content,10.1080/10447318.2020.1768674
System Dialog Message and Its Effect on Task Switching by Age,10.1080/10447318.2020.1785152
Virtual Reality Sickness: A Review of Causes and Measurements,10.1080/10447318.2020.1778351
Exploring the Relative Effects of Body Position and Spatial Cognition on Presence When Playing Virtual Reality Games,10.1080/10447318.2020.1775373
3D Travel Comparison Study between Multi-Touch and GamePad,10.1080/10447318.2020.1780016
Design for Luxury Front-Seat Passenger Infotainment Systems with Experience Prototyping through VR,10.1080/10447318.2020.1785150
Freehand-Steering Locomotion Techniques for Immersive Virtual Environments: A Comparative Evaluation,10.1080/10447318.2020.1785151
Comparing Flat and Edge-Screen Smartphones Operated on a One-Hand-Only Basis: A Video Observation in Laboratory Settings,10.1080/10447318.2020.1785153
Why Is Artificial Intelligence Blamed More? Analysis of Faulting Artificial Intelligence for Self-Driving Car Accidents in Experimental Settings,10.1080/10447318.2020.1785693
Cultural Differences in Self-Expression on Facebook: A Comparison of Facebook Status Updates in Turkey and the U.S.A.,10.1080/10447318.2020.1794623
Identifying Causes of and Solutions for Cybersickness in Immersive Technology: Reformulation of a Research and Development Agenda,10.1080/10447318.2020.1828535
A Systematic Review of Ten Years of Research on Human Interaction with Social Robots,10.1080/10447318.2020.1801172
Understanding Social Interaction across Social Network Sites,10.1080/10447318.2020.1794624
"Online Privacy Breaches, Offline Consequences: Construction and Validation of the Concerns with the Protection of Informational Privacy Scale",10.1080/10447318.2020.1794626
Asymmetry in Usability Evaluation of the Assistive Technology among Users With and Without Disabilities,10.1080/10447318.2020.1798084
Remote Deictic Communication: Simulating Deictic Pointing Gestures across Distances Using Electro Muscle Stimulation,10.1080/10447318.2020.1801171
Multi-Language Toolkit for the System Usability Scale,10.1080/10447318.2020.1801173
My Teacher Is a Machine: Understanding Students Perceptions of AI Teaching Assistants in Online Education,10.1080/10447318.2020.1801227
Aladdins magic carpet: Navigation by in-air static hand gesture in autonomous vehicles,10.1080/10447318.2020.1801225
Sexist AI: An Experiment Integrating CASA and ELM,10.1080/10447318.2020.1801226
Motivation and Evaluation Criteria Influencing Consumer Experience of One-Person Media,10.1080/10447318.2020.1805872
Personality Traits and Intention to Continue Using Massive Open Online Courses (ICM) in Spain: The Mediating Role of Motivations,10.1080/10447318.2020.1805873
Just Sit Back and Watch: Large Disparities between Video and Face-to-face Interview Observers in Applicant Ratings,10.1080/10447318.2020.1805874
Vol35_2019,
Serious Game for Children with Autism to Learn Vocabulary: An Experimental Evaluation,10.1080/10447318.2017.1420006
The Effect of Learning in a Virtual Environment on Explicit and Implicit Memory by Applying a Process Dissociation Procedure,10.1080/10447318.2018.1424102
"Influence of Gift-Giving in Social Network Games on Social Capital: Relationship Types, Gift-Giving Types, and the Big Five Factors of Personality",10.1080/10447318.2018.1426234
Supporting Social Interaction in Care Environments: Exploring Stakeholder Perspectives on the Potential of Interactive Technology,10.1080/10447318.2018.1426897
Complexity of In-Vehicle Controllers and Their Effect on Task Performance,10.1080/10447318.2018.1428263
Virtual Reality Interfaces for Interacting with Three-Dimensional Graphs,10.1080/10447318.2018.1429061
Attention for Web Directory Advertisements: A Top-Down or Bottom-Up Process?,10.1080/10447318.2018.1432162
Multiscreen Social TV System: A Mixed Method Understanding of Users Attitudes and Adoption Intention,10.1080/10447318.2018.1436115
Designing an Algorithm-Driven Text Generation System for Personalized and Interactive News Reading,10.1080/10447318.2018.1437864
The Impact of Geographic Location on the Subjective Assessment of System Usability,10.1080/10447318.2018.1437865
What Is Good Help? Responses to Solicited and Unsolicited Assistance,10.1080/10447318.2018.1437866
